@ref(networkElement)|@const(IpagDevice)class
@index(PE_Device)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|device_model|device_name|device_role|device_type|ipaddress|loopback10_ipaddr|loopback_ipaddr|mcn|provision_status|ptnii|savpn_siteid|snmpcom_string|subscriber_name
149.0.3.128|149.0.3.128|149.0.3.128|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAH71|IPAG1|JUNIPER MX SERIES|10.204.242.32|12.122.129.41|149.0.3.128||IN-SERVICE|DYAFL319IA1|||
8.8.0.190|8.8.0.190|8.8.0.190|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAA81W|IPAG1|JUNIPER MX SERIES|12.81.161.202|12.123.76.88|8.8.0.190||IN-SERVICE|CRDNV322IA1|||
12.123.80.168|12.123.80.168|12.123.80.168|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL3298O|IPAG1|JUNIPER MX SERIES|12.122.122.204|12.122.128.78|12.123.80.168||IN-SERVICE|ORGFL373IA1|||
143.0.68.35|143.0.68.35|143.0.68.35|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAH02|IPAG1|JUNIPER MX SERIES|143.1.33.22|147.0.0.22|143.0.68.35||IN-SERVICE|CRCNV366IA1|||
150.0.0.215|150.0.0.215|150.0.0.215|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAA03|IPAG1|JUNIPER MX SERIES|10.204.242.1|12.122.130.27|150.0.0.215||IN-SERVICE|CRCNV331IA1|||
143.0.68.169|143.0.68.169|143.0.68.169|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMBR01|IPAG1|JUNIPER MX SERIES|10.204.243.41|12.122.131.32|143.0.68.169||IN-SERVICE|DYDFL303IA3|||
10.144.0.154|10.144.0.154|10.144.0.154|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|SNJSCA02W31|IPAG1|JUNIPER MX SERIES|192.168.112.43|10.144.10.154|10.144.0.154||IN-SERVICE|SNACA316IA1|||
149.0.3.195|149.0.3.195|149.0.3.195|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|DYBHFLMAL06|IPAG2|JUNIPER MX SERIES|10.204.242.114|12.122.130.110|149.0.3.195||IN-SERVICE|DYAFL326IA2|||
12.80.72.118|12.80.72.118|12.80.72.118|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL24VL4|IPAG1|JUNIPER MX SERIES|10.204.247.127|12.123.75.216|12.80.72.118||IN-SERVICE|ORIFL350IA1|||
8.8.1.5|8.8.1.5|8.8.1.5|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAAI56|IPAG1|JUNIPER MX SERIES|12.81.162.36|12.123.76.178|8.8.1.5||IN-SERVICE|CRDNV354IA1|||
149.9.0.27|149.9.0.27|149.9.0.27|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAW27|IPAG1|JUNIPER MX SERIES|10.204.242.44|12.122.129.236|149.9.0.27||IN-SERVICE|DYAFL316IA1|||
150.0.0.147|150.0.0.147|150.0.0.147|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|CRCYNVMAI17|IPAG2|JUNIPER MX SERIES|10.204.241.91|12.122.129.126|150.0.0.147||IN-SERVICE|CRCNV305IA2|||
150.0.0.12|150.0.0.12|150.0.0.12|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAX5Y|IPAG1|JUNIPER MX SERIES|12.122.123.62||150.0.0.12||IN-SERVICE|DYAFL309IA1|||
143.0.68.99|143.0.68.99|143.0.68.99|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMA000|IPAG1|JUNIPER MX SERIES|10.204.242.209|12.122.130.200|143.0.68.99||IN-SERVICE|DYAFL311IA3|||
150.0.0.89|150.0.0.89|150.0.0.89|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|RENONVYAPFR|IPAG1|JUNIPER MX SERIES|10.204.241.43|12.122.129.85|150.0.0.89||IN-SERVICE|REANV315IA1|||
8.8.0.148|8.8.0.148|8.8.0.148|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAAP01|IPAG1|JUNIPER MX SERIES|12.81.161.147|12.123.76.32|8.8.0.148||IN-SERVICE|CRDNV305IA1|||
12.80.72.15|12.80.72.15|12.80.72.15|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMAP17|IPAG1|JUNIPER MX SERIES|10.204.246.227|12.123.75.62|12.80.72.15||IN-SERVICE|RLFNC301IA1|||
149.0.3.134|149.0.3.134|149.0.3.134|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAH06|IPAG1|JUNIPER MX SERIES|12.122.123.111|12.122.128.185|149.0.3.134||IN-SERVICE|DYAFL317IA1|||
150.0.0.233|150.0.0.233|150.0.0.233|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAL02|IPAG1|JUNIPER MX SERIES|10.204.242.12|12.122.130.38|150.0.0.233||IN-SERVICE|CRCNV336IA1|||
12.82.100.7|12.82.100.7|12.82.100.7|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMOPS1|IPAG1|JUNIPER MX SERIES|10.204.246.124|12.123.74.223|12.82.100.7||IN-SERVICE|RLGNC301IA1|853||
12.123.80.201|12.123.80.201|12.123.80.201|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32ZSB|IPAG1|JUNIPER MX SERIES|12.122.122.239|12.122.128.97|12.123.80.201||IN-SERVICE|ORGFL389IA1|||
143.0.68.168|143.0.68.168|143.0.68.168|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|DYBHFLMB1MX|IPAG2|JUNIPER MX SERIES|10.204.243.40|12.122.131.31|143.0.68.168||IN-SERVICE|DYDFL301IB1|||
149.9.0.6|149.9.0.6|149.9.0.6|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|DYBHFLMAWA5|IPAG2|JUNIPER MX SERIES|10.204.242.34|12.122.128.197|149.9.0.6||IN-SERVICE|DYAFL318IA2|||
8.8.0.176|8.8.0.176|8.8.0.176|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMNP01|IPAG1|JUNIPER MX SERIES|12.81.161.193|12.123.76.78|8.8.0.176||IN-SERVICE|DYDFL305IA1|||
143.0.68.42|143.0.68.42|143.0.68.42|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMA240|IPAG1|JUNIPER MX SERIES|143.1.33.29|147.0.0.29|143.0.68.42||IN-SERVICE|CRCNV372IA1|||
150.0.0.23|150.0.0.23|150.0.0.23|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAA03T|IPAG1|JUNIPER MX SERIES|12.122.123.71|12.122.128.166|150.0.0.23||IN-SERVICE|CRANV335IA1|||
12.80.4.13|12.80.4.13|12.80.4.13|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMOI01|IPAG1|JUNIPER MX SERIES|10.204.246.159|12.123.75.2|12.80.4.13||IN-SERVICE|RLGNC307IA1|||
143.0.68.248|143.0.68.248|143.0.68.248|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMA308|IPAG1|JUNIPER MX SERIES|10.204.243.122|12.122.131.112|143.0.68.248||IN-SERVICE|DYAFL331IA3|||
12.80.72.19|12.80.72.19|12.80.72.19|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMAH03|IPAG1|JUNIPER MX SERIES|10.204.247.9|12.123.75.96|12.80.72.19||IN-SERVICE|RLFNC304IA1|||
143.0.68.184|143.0.68.184|143.0.68.184|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMCV22|IPAG1|JUNIPER MX SERIES|10.204.243.57|12.122.131.48|143.0.68.184||IN-SERVICE|DYCFL309IA3|||
12.80.72.16|12.80.72.16|12.80.72.16|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMAQ01|IPAG1|JUNIPER MX SERIES|10.204.247.6|12.123.75.93|12.80.72.16||IN-SERVICE|RLFNC302IA1|||
8.8.0.172|8.8.0.172|8.8.0.172|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAA61W|IPAG2|JUNIPER MX SERIES|12.81.161.186|12.123.76.71|8.8.0.172||IN-SERVICE|CRDNV301IB2|||
149.9.0.29|149.9.0.29|149.9.0.29|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAH72|IPAG2|JUNIPER MX SERIES|10.204.242.46|12.122.129.223|149.9.0.29||IN-SERVICE|DYAFL321IA1|||
12.80.72.42|12.80.72.42|12.80.72.42|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMAN78|IPAG1|JUNIPER MX SERIES|10.204.247.40|12.123.75.129|12.80.72.42||IN-SERVICE|RLFNC314IA1|||
10.144.0.137|10.144.0.137|10.144.0.137|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFLMA51W|IPAG1|JUNIPER MX SERIES|192.168.112.26||10.144.0.137||IN-SERVICE|ORMFL301IA1|||
143.0.68.170|143.0.68.170|143.0.68.170|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMB2MX|IPAG1|JUNIPER MX SERIES|10.204.243.42|12.122.131.33|143.0.68.170||IN-SERVICE|DYDFL304IA3|||
150.0.0.216|150.0.0.216|150.0.0.216|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAA05|IPAG1|JUNIPER MX SERIES|10.204.242.2|12.122.130.28|150.0.0.216||IN-SERVICE|CRCNV332IA1|||
12.80.72.33|12.80.72.33|12.80.72.33|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMA121|IPAG2|JUNIPER MX SERIES|10.204.247.30|12.123.75.119|12.80.72.33||IN-SERVICE|RLFNC301IB2|||
150.0.0.232|150.0.0.232|150.0.0.232|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAL01|IPAG1|JUNIPER MX SERIES|10.204.242.11|12.122.130.37|150.0.0.232||IN-SERVICE|CRCNV335IA1|||
12.80.17.93|12.80.17.93|12.80.17.93|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|ANHMCA010AW|NONE|JUNIPER MX SERIES|10.204.245.216|14.0.0.23|12.80.17.93||IN-SERVICE|AN1CA302IA1|||
12.123.80.143|12.123.80.143|12.123.80.143|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32ZZ4|IPAG1|JUNIPER MX SERIES|12.122.122.177|12.122.128.51|12.123.80.143||IN-SERVICE|ORGFL360IA1|||
8.8.0.154|8.8.0.154|8.8.0.154|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|CRCYNVAA56W|IPAG2|JUNIPER MX SERIES|12.81.161.160|12.123.76.45|8.8.0.154||IN-SERVICE|CRDNV301IA2|||
150.0.0.217|150.0.0.217|150.0.0.217|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAA04|IPAG1|JUNIPER MX SERIES|10.204.242.3|12.122.130.29|150.0.0.217||IN-SERVICE|CRCNV333IA1|||
143.0.68.72|143.0.68.72|143.0.68.72|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|JCVLFLSEN07|IPAG1|JUNIPER MX SERIES|143.1.33.60|147.0.0.58|143.0.68.72||IN-SERVICE|JCCFL301IA1|||
149.0.3.206|149.0.3.206|149.0.3.206|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAD09|IPAG1|JUNIPER MX SERIES|10.204.242.126|12.122.130.122|149.0.3.206||IN-SERVICE|CRCNV304IA3|||
150.0.0.10|150.0.0.10|150.0.0.10|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAA2YP|IPAG1|JUNIPER MX SERIES|12.122.123.60||150.0.0.10||IN-SERVICE|CRANV331IA1|||
143.0.68.212|143.0.68.212|143.0.68.212|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|GSVLFLST5MD|IPAG1|JUNIPER MX SERIES|10.204.243.86|12.122.131.76|143.0.68.212||IN-SERVICE|GSLFL301IA3|||
14.0.1.85|14.0.1.85|14.0.1.85|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|JCVLFLSJVV1|IPAG1|JUNIPER MX SERIES|10.204.246.28|14.1.0.46|14.0.1.85||IN-SERVICE|JCDFL304IA1|||
149.0.3.196|149.0.3.196|149.0.3.196|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAD01|IPAG1|JUNIPER MX SERIES|10.204.242.115|12.122.130.111|149.0.3.196||IN-SERVICE|CRCNV301IA3|||
12.82.0.62|12.82.0.62|12.82.0.62|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL24Q10|IPAG1|JUNIPER MX SERIES|10.204.246.205|12.123.75.40|12.82.0.62||IN-SERVICE|ORIFL307IA1|872||
149.0.3.202|149.0.3.202|149.0.3.202|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAL03|IPAG1|JUNIPER MX SERIES|10.204.242.121|12.122.130.117|149.0.3.202||IN-SERVICE|DYAFL304IA3|||
12.80.72.14|12.80.72.14|12.80.72.14|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|RLGHNCMA1PS|IPAG2|JUNIPER MX SERIES|10.204.246.226|12.123.75.61|12.80.72.14||IN-SERVICE|RLFNC301IA2|||
12.123.80.214|12.123.80.214|12.123.80.214|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|SNJSCAHUDK3|IPAG1|JUNIPER MX SERIES|12.122.122.250|12.122.128.108|12.123.80.214||IN-SERVICE|SNPCA309IA1|||
10.144.0.155|10.144.0.155|10.144.0.155|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|SNTCCA0111W|IPAG1|JUNIPER MX SERIES|192.168.112.44|10.144.10.155|10.144.0.155||IN-SERVICE|SNDCA305IA1|||
12.80.72.121|12.80.72.121|12.80.72.121|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL2589P|IPAG1|JUNIPER MX SERIES|10.204.247.130|12.123.75.219|12.80.72.121||IN-SERVICE|OROFL301IA1|||
12.123.80.27|12.123.80.27|12.123.80.27|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAA3IP|IPAG1|JUNIPER MX SERIES|12.122.122.53|12.123.136.33|12.123.80.27||IN-SERVICE|CRANV303IA1|||
8.8.0.205|8.8.0.205|8.8.0.205|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAA5D5|IPAG1|JUNIPER MX SERIES|12.81.161.220|12.123.76.106|8.8.0.205||IN-SERVICE|CRDNV327IA1|||
143.0.68.241|143.0.68.241|143.0.68.241|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|GSVLFLANAC2|IPAG2|JUNIPER MX SERIES|10.204.243.115|12.122.131.105|143.0.68.241||IN-SERVICE|GSHFL306IA3|||
143.0.68.43|143.0.68.43|143.0.68.43|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAW71|IPAG1|JUNIPER MX SERIES|143.1.33.30|147.0.0.30|143.0.68.43||IN-SERVICE|CRCNV373IA1|||
143.0.68.110|143.0.68.110|143.0.68.110|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|SNJSCA0221W|IPAG1|JUNIPER MX SERIES|10.204.242.230|12.122.130.221|143.0.68.110||IN-SERVICE|SNACA308IA3|||
149.0.3.223|149.0.3.223|149.0.3.223|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAL10|IPAG1|JUNIPER MX SERIES|10.204.242.144|12.122.130.140|149.0.3.223||IN-SERVICE|DYAFL310IA3|||
12.80.72.65|12.80.72.65|12.80.72.65|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMAKQ1|IPAG1|JUNIPER MX SERIES|10.204.247.66|12.123.75.155|12.80.72.65||IN-SERVICE|RLFNC330IA1|||
143.0.68.229|143.0.68.229|143.0.68.229|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMB027|IPAG1|JUNIPER MX SERIES|10.204.243.103|12.122.131.93|143.0.68.229||IN-SERVICE|DYDFL312IA3|||
143.0.68.172|143.0.68.172|143.0.68.172|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMCV01|IPAG1|JUNIPER MX SERIES|10.204.243.44|12.122.131.35|143.0.68.172||IN-SERVICE|DYCFL302IA3|||
149.0.3.216|149.0.3.216|149.0.3.216|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAD05|IPAG1|JUNIPER MX SERIES|10.204.242.137|12.122.130.133|149.0.3.216||IN-SERVICE|CRCNV307IA3|||
148.0.131.182|148.0.131.182|148.0.131.182|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|RENONVYAY3Q|IPAG1|JUNIPER MX SERIES|12.122.123.213|12.122.129.19|148.0.131.182||IN-SERVICE|REANV304IA1|||
12.80.84.29|12.80.84.29|12.80.84.29|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMA51W|IPAG1|JUNIPER MX SERIES|10.204.246.167|12.123.75.10|12.80.84.29||IN-SERVICE|CRCNV302IA1|||
143.0.68.247|143.0.68.247|143.0.68.247|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|GSVLFLANCT5|IPAG1|JUNIPER MX SERIES|10.204.243.121|12.122.131.111|143.0.68.247||IN-SERVICE|GSHFL307IA3|||
12.123.80.212|12.123.80.212|12.123.80.212|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|SNJSCAHUDK1|IPAG1|JUNIPER MX SERIES|12.122.122.248|12.122.128.106|12.123.80.212||IN-SERVICE|SNPCA307IA1|||
10.144.0.65|10.144.0.65|10.144.0.65|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|ORLDFLMA61W|IPAG2|JUNIPER MX SERIES|192.168.112.101|10.144.10.65|10.144.0.65||IN-SERVICE|ORMFL301IA2|||
149.0.3.222|149.0.3.222|149.0.3.222|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAL08|IPAG1|JUNIPER MX SERIES|10.204.242.143|12.122.130.139|149.0.3.222||IN-SERVICE|DYAFL309IA3|||
150.0.0.46|150.0.0.46|150.0.0.46|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMAWBV|IPAG1|JUNIPER MX SERIES|12.122.123.114|12.122.128.188|150.0.0.46||IN-SERVICE|DYAFL320IA1|||
143.0.68.175|143.0.68.175|143.0.68.175|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|DYBHFLMCV04|IPAG2|JUNIPER MX SERIES|10.204.243.47|12.122.131.38|143.0.68.175||IN-SERVICE|DYCFL302IA2|||
143.0.68.173|143.0.68.173|143.0.68.173|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMCV02|IPAG1|JUNIPER MX SERIES|10.204.243.45|12.122.131.36|143.0.68.173||IN-SERVICE|DYCFL303IA3|||
143.0.24.132|143.0.24.132|143.0.24.132|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|SNJSCA020FW|IPAG1|JUNIPER MX SERIES|12.122.121.13|12.122.132.11|143.0.24.132||IN-SERVICE|SNACA312IA3|||
149.0.3.194|149.0.3.194|149.0.3.194|ETHERNET-NFO|IPAG|IPAG|true|S|MX960|CRCYNVMAD06|IPAG2|JUNIPER MX SERIES|10.204.242.113|12.122.130.109|149.0.3.194||IN-SERVICE|CRCNV317IA2|||
143.0.68.242|143.0.68.242|143.0.68.242|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|GSVLFLANH02|IPAG2|JUNIPER MX SERIES|10.204.243.116|12.122.131.106|143.0.68.242||IN-SERVICE|GSHFL305IA2|||
12.82.0.53|12.82.0.53|12.82.0.53|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL24FIP|IPAG1|JUNIPER MX SERIES|10.204.246.168|12.123.75.11|12.82.0.53||IN-SERVICE|ORIFL301IA1|814||
12.80.68.135|12.80.68.135|12.80.68.135|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|RLGHNCMOW2K|IPAG1|JUNIPER MX SERIES|10.204.246.197|12.123.75.32|12.80.68.135||IN-SERVICE|RLGNC317IA1|||
143.0.24.144|143.0.24.144|143.0.24.144|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|GSVLFLAN2EW|IPAG1|JUNIPER MX SERIES|10.204.244.59|12.122.132.23|143.0.24.144||IN-SERVICE|GSHFL318IA3|||
12.123.80.29|12.123.80.29|12.123.80.29|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32PB1|IPAG1|JUNIPER MX SERIES|12.122.122.55|12.123.136.35|12.123.80.29||IN-SERVICE|ORGFL311IA1|||
12.123.80.133|12.123.80.133|12.123.80.133|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|ORLDFL32S2O|IPAG1|JUNIPER MX SERIES|12.122.122.167|12.122.128.41|12.123.80.133||IN-SERVICE|ORGFL353IA1|||
12.123.80.17|12.123.80.17|12.123.80.17|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVAA1IP|IPAG1|JUNIPER MX SERIES|12.122.122.38|12.123.136.26|12.123.80.17||IN-SERVICE|CRANV301IA1|||
143.0.68.34|143.0.68.34|143.0.68.34|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAH03|IPAG1|JUNIPER MX SERIES|143.1.33.21|147.0.0.21|143.0.68.34||IN-SERVICE|CRCNV365IA1|||
143.0.68.240|143.0.68.240|143.0.68.240|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|GSVLFLANAC1|IPAG2|JUNIPER MX SERIES|10.204.243.114|12.122.131.104|143.0.68.240||IN-SERVICE|GSHFL305IA3|||
143.0.24.196|143.0.24.196|143.0.24.196|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|DYBHFLMC1IP|IPAG1|JUNIPER MX SERIES|10.204.244.113|12.122.132.77|143.0.24.196||IN-SERVICE|DYCFL320IA3|||
143.0.24.237|143.0.24.237|143.0.24.237|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMB1Z1|IPAG2|JUNIPER MX SERIES|10.204.244.156|12.122.132.117|143.0.24.237||IN-SERVICE|CRINV304IA3|||
10.0.38.75|10.0.38.75|10.0.38.75|ETHERNET-NFO|IPAG|IPAG|true|B|MX960|ORLDFLMAKWT|IPAG2|JUNIPER MX SERIES|10.204.242.110|12.122.130.106|10.0.38.75||IN-SERVICE|ORMFL308IA2|||
149.0.3.198|149.0.3.198|149.0.3.198|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|CRCYNVMAD02|IPAG1|JUNIPER MX SERIES|10.204.242.117|12.122.130.113|149.0.3.198||IN-SERVICE|CRCNV302IA3|||
12.80.84.11|12.80.84.11|12.80.84.11|ETHERNET-NFO|IPAG|IPAG|true|B|MX480|PNCYFLMA51W|IPAG1|JUNIPER MX SERIES|10.204.246.231|12.123.75.66|12.80.84.11||IN-SERVICE|PNDFL301IA1|||
149.8.0.17|149.8.0.17|149.8.0.17|ETHERNET-NFO|IPAG|IPAG|true|S|MX480|SNJSCAHUTJ6|IPAG1|JUNIPER MX SERIES|12.122.123.17|12.122.128.131|149.8.0.17||IN-SERVICE|SNPCA318IA1|||
