@rel(Associated_To)
@from(EVC)key|@to(EVCNode)key
VPLS:27882|149.0.3.196/VPLS:27882
VPWS:21641|10.144.0.147/VPWS:21641
L2CKT:30403|192.168.128.102/L2CKT:30403
VPLS:52157|10.204.176.98/VPLS:52157
VPLS:24586|10.204.66.99/VPLS:24586
VPLS:25582|10.204.9.67/VPLS:25582
VPWS:21589|192.168.113.48/VPWS:21589
L2CKT:32318|192.168.95.133/L2CKT:32318
VPLS:51688|10.204.176.82/VPLS:51688
VPLS:17349|12.122.72.112/VPLS:17349
VPLS:22640|10.204.82.27/VPLS:22640
L2CKT:29467|192.168.113.188/L2CKT:29467
VPLS:19157|12.122.72.115/VPLS:19157
VPLS:31580|10.204.85.102/VPLS:31580
VPLS:25704|10.204.8.75/VPLS:25704
L2CKT:29589|10.204.134.202/L2CKT:29589
VPLS:31727|143.0.68.242/VPLS:31727
VPWS:23949|10.204.82.198/VPWS:23949
L2CKT:63036|10.204.90.155/L2CKT:63036
L2CKT:26419|10.204.83.196/L2CKT:26419
VPLS:31584|10.204.82.214/VPLS:31584
VPLS:28752|10.204.9.152/VPLS:28752
VPLS:22365|12.123.80.214/VPLS:22365
VPLS:26711|150.0.0.229/VPLS:26711
L2CKT:27524|10.204.84.246/L2CKT:27524
VPLS:26411|149.0.3.135/VPLS:26411
VPLS:25651|143.0.68.36/VPLS:25651
L2CKT:29440|192.168.113.164/L2CKT:29440
VPWS:23872|10.204.82.212/VPWS:23872
VPWS:30358|10.204.132.81/VPWS:30358
L2CKT:32162|10.204.144.69/L2CKT:32162
VPWS:28601|10.0.36.78/VPWS:28601
VPLS:63726|10.204.90.155/VPLS:63726
VPLS:32481|143.0.24.168/VPLS:32481
VPLS:31665|192.168.113.147/VPLS:31665
VPWS:25868|10.204.9.100/VPWS:25868
VPWS:27999|10.204.9.156/VPWS:27999
VPWS:23623|10.204.82.173/VPWS:23623
VPWS:24098|10.204.82.212/VPWS:24098
VPWS:25815|10.204.83.251/VPWS:25815
L2CKT:32687|135.16.243.66/L2CKT:32687
VPLS:23958|10.204.82.198/VPLS:23958
VPLS:28009|149.0.3.203/VPLS:28009
VPLS:27536|149.0.3.196/VPLS:27536
VPLS:26460|150.0.0.232/VPLS:26460
VPLS:25875|149.9.0.29/VPLS:25875
VPWS:32048|10.204.12.35/VPWS:32048
VPWS:23645|148.0.131.182/VPWS:23645
VPLS:21951|12.123.80.188/VPLS:21951
VPWS:25878|149.9.0.6/VPWS:25878
VPLS:62964|8.8.0.190/VPLS:62964
VPLS:26024|10.204.83.211/VPLS:26024
VPWS:28875|143.0.68.170/VPWS:28875
L2CKT:26722|10.204.84.105/L2CKT:26722
VPLS:30079|143.0.68.184/VPLS:30079
VPWS:23778|148.0.131.182/VPWS:23778
VPWS:26507|10.204.84.132/VPWS:26507
VPLS:26704|10.204.84.155/VPLS:26704
VPWS:28704|10.204.85.93/VPWS:28704
VPLS:28743|10.204.9.156/VPLS:28743
VPWS:27270|10.0.38.74/VPWS:27270
VPWS:30156|10.0.40.36/VPWS:30156
VPLS:29201|10.204.132.87/VPLS:29201
VPWS:27540|149.0.3.244/VPWS:27540
VPWS:31731|10.204.67.107/VPWS:31731
VPWS:30184|143.0.68.184/VPWS:30184
VPWS:27518|192.168.113.111/VPWS:27518
VPLS:30047|10.204.132.149/VPLS:30047
L2CKT:26983|192.168.113.166/L2CKT:26983
VPWS:29188|148.0.131.204/VPWS:29188
VPLS:29143|10.204.132.87/VPLS:29143
VPLS:29479|10.204.11.18/VPLS:29479
VPLS:24296|10.204.66.99/VPLS:24296
VPLS:28750|10.204.9.195/VPLS:28750
L2CKT:29226|10.144.0.137/L2CKT:29226
VPWS:22776|10.204.64.193/VPWS:22776
VPLS:29677|10.204.11.66/VPLS:29677
VPLS:62705|8.8.0.118/VPLS:62705
VPLS:27575|10.204.84.246/VPLS:27575
VPLS:32454|192.168.113.70/VPLS:32454
VPWS:31574|143.0.68.240/VPWS:31574
VPLS:61421|10.204.166.81/VPLS:61421
VPLS:23487|192.168.113.174/VPLS:23487
VPWS:25921|10.204.9.98/VPWS:25921
VPLS:26489|10.204.84.31/VPLS:26489
VPLS:29304|143.0.68.230/VPLS:29304
L2CKT:28613|10.204.10.104/L2CKT:28613
VPWS:28942|143.0.68.168/VPWS:28942
VPWS:22930|10.204.82.18/VPWS:22930
VPWS:24098|192.168.113.111/VPWS:24098
VPLS:26734|10.144.0.147/VPLS:26734
VPLS:27555|10.204.85.35/VPLS:27555
VPLS:31483|10.204.11.251/VPLS:31483
VPWS:25899|10.204.83.211/VPWS:25899
VPWS:29246|143.0.68.184/VPWS:29246
VPLS:32228|10.144.0.65/VPLS:32228
VPWS:28871|10.204.81.209/VPWS:28871
VPLS:31673|10.204.132.175/VPLS:31673
VPWS:25942|10.204.83.211/VPWS:25942
L2CKT:27526|10.204.84.247/L2CKT:27526
243|10.204.16.66/243
VPLS:27902|10.204.81.37/VPLS:27902
VPLS:61018|8.8.0.118/VPLS:61018
VPLS:29684|143.0.68.184/VPLS:29684
L2CKT:31918|10.204.132.238/L2CKT:31918
VPLS:28604|10.204.10.102/VPLS:28604
VPLS:29033|10.204.132.87/VPLS:29033
VPLS:24406|10.204.66.99/VPLS:24406
VPLS:63140|10.204.90.167/VPLS:63140
VPWS:28996|10.204.85.44/VPWS:28996
L2CKT:62681|8.8.0.172/L2CKT:62681
VPLS:28748|10.204.81.209/VPLS:28748
VPLS:32558|10.204.144.66/VPLS:32558
VPWS:32080|10.144.0.154/VPWS:32080
ASDF|10.204.90.239/ASDF
VPLS:23780|148.0.131.182/VPLS:23780
VPWS:22671|10.204.81.165/VPWS:22671
VPLS:30824|10.204.67.177/VPLS:30824
VPWS:63589|10.204.166.81/VPWS:63589
L2CKT:28206|149.0.3.222/L2CKT:28206
L2CKT:62671|10.204.90.173/L2CKT:62671
VPLS:26076|10.204.9.67/VPLS:26076
L2CKT:28206|10.204.10.39/L2CKT:28206
VPWS:28888|10.204.10.183/VPWS:28888
L2CKT:27585|10.204.84.246/L2CKT:27585
VPWS:22735|10.204.64.193/VPWS:22735
VPLS:63140|10.204.90.170/VPLS:63140
VPLS:20910|10.204.80.96/VPLS:20910
VPWS:23231|10.204.82.66/VPWS:23231
VPWS:63831|10.204.90.231/VPWS:63831
L2CKT:27933|149.0.3.222/L2CKT:27933
VPWS:29084|143.0.68.184/VPWS:29084
VPLS:27194|149.0.3.244/VPLS:27194
VPLS:29108|10.204.132.87/VPLS:29108
VPLS:24258|10.204.66.99/VPLS:24258
VPWS:22540|10.204.81.194/VPWS:22540
VPWS:23719|10.204.66.99/VPWS:23719
VPWS:24053|10.204.82.212/VPWS:24053
VPLS:29602|10.204.134.202/VPLS:29602
VPLS:22973|10.0.36.73/VPLS:22973
VPWS:27516|149.0.3.198/VPWS:27516
VPLS:52133|10.204.200.182/VPLS:52133
VPLS:31948|10.204.134.216/VPLS:31948
VPLS:24019|192.168.113.147/VPLS:24019
VPWS:25701|10.204.83.212/VPWS:25701
VPWS:25866|143.0.68.55/VPWS:25866
VPLS:61046|10.204.166.81/VPLS:61046
VPWS:28843|143.0.68.244/VPWS:28843
L2CKT:28841|10.204.10.166/L2CKT:28841
VPWS:22629|10.204.82.18/VPWS:22629
VPWS:23678|148.0.131.182/VPWS:23678
VPLS:32558|143.0.68.242/VPLS:32558
VPLS:29129|143.0.68.247/VPLS:29129
VPWS:64046|10.204.90.242/VPWS:64046
VPLS:32055|10.204.10.142/VPLS:32055
VPWS:26493|150.0.0.168/VPWS:26493
VPLS:51882|10.204.200.118/VPLS:51882
L2CKT:32106|192.168.95.37/L2CKT:32106
VPLS:63408|10.204.90.186/VPLS:63408
L2CKT:32318|10.144.0.154/L2CKT:32318
VPLS:24074|10.204.8.162/VPLS:24074
VPLS:29610|10.204.66.224/VPLS:29610
VPWS:32000|143.0.24.148/VPWS:32000
VPWS:27999|149.0.3.202/VPWS:27999
VPLS:26708|10.204.84.155/VPLS:26708
157|10.204.90.232/157
VPWS:29152|10.204.134.201/VPWS:29152
VPLS:26155|149.9.0.6/VPLS:26155
VPLS:24479|10.204.66.99/VPLS:24479
VPWS:26229|10.204.83.211/VPWS:26229
VPWS:32400|192.168.113.131/VPWS:32400
VPWS:22440|10.204.81.162/VPWS:22440
VPLS:26214|10.204.9.93/VPLS:26214
VPLS:26466|10.204.83.194/VPLS:26466
VPLS:26504|10.204.84.132/VPLS:26504
L2CKT:63281|10.204.90.159/L2CKT:63281
VPWS:27541|10.204.85.14/VPWS:27541
VPLS:30784|10.204.1.65/VPLS:30784
VPWS:23474|150.0.0.89/VPWS:23474
VPLS:29677|10.204.11.33/VPLS:29677
VPLS:32020|10.204.10.142/VPLS:32020
VPLS:25875|10.204.9.69/VPLS:25875
VPLS:26737|10.204.84.49/VPLS:26737
VPLS:63856|10.204.90.174/VPLS:63856
VPWS:29277|143.0.68.168/VPWS:29277
VPLS:30384|10.204.11.141/VPLS:30384
VPLS:29744|143.0.68.170/VPLS:29744
VPLS:22778|10.144.0.62/VPLS:22778
VPLS:52221|10.204.176.72/VPLS:52221
VPLS:28963|10.204.10.163/VPLS:28963
VPLS:25575|10.204.8.75/VPLS:25575
VPWS:22735|12.123.80.27/VPWS:22735
VPLS:26715|10.204.84.155/VPLS:26715
VPLS:31302|192.168.113.165/VPLS:31302
VPLS:23813|10.204.82.173/VPLS:23813
VPLS:21963|10.204.65.114/VPLS:21963
VPWS:23778|10.204.66.99/VPWS:23778
VPWS:25940|10.204.83.211/VPWS:25940
VPWS:29615|148.0.131.204/VPWS:29615
VPWS:29050|143.0.68.184/VPWS:29050
VPWS:26069|10.204.83.211/VPWS:26069
VPWS:31574|10.204.134.202/VPWS:31574
VPLS:29683|150.0.0.10/VPLS:29683
VPLS:24335|10.204.66.99/VPLS:24335
VPLS:25318|10.204.83.89/VPLS:25318
VPLS:27235|10.204.84.210/VPLS:27235
VPLS:25462|10.204.9.64/VPLS:25462
VPWS:25711|10.204.83.211/VPWS:25711
VPWS:23644|10.204.66.99/VPWS:23644
VPLS:32139|10.204.144.80/VPLS:32139
VPWS:29596|148.0.131.204/VPWS:29596
VPLS:27037|10.204.84.195/VPLS:27037
VPLS:27567|10.204.85.44/VPLS:27567
VPLS:25571|150.0.0.168/VPLS:25571
VPLS:30925|10.204.134.202/VPLS:30925
VPWS:29246|10.204.10.114/VPWS:29246
VPWS:28100|10.204.67.148/VPWS:28100
VPLS:26784|10.204.83.211/VPLS:26784
VPWS:28422|150.0.0.215/VPWS:28422
VPLS:28053|10.204.10.33/VPLS:28053
VPWS:30040|10.204.8.75/VPWS:30040
VPWS:25772|149.9.0.27/VPWS:25772
VPLS:30978|10.204.67.189/VPLS:30978
VPWS:23760|10.204.82.173/VPWS:23760
VPLS:32454|10.144.0.155/VPLS:32454
L2CKT:31636|10.204.11.252/L2CKT:31636
VPWS:29117|10.204.132.81/VPWS:29117
VPLS:63914|8.8.0.154/VPLS:63914
VPWS:29189|143.0.68.184/VPWS:29189
VPLS:28729|10.204.10.133/VPLS:28729
VPLS:62794|8.8.0.172/VPLS:62794
VPLS:25875|149.9.0.27/VPLS:25875
VPLS:21885|192.168.113.96/VPLS:21885
VPWS:63621|8.8.0.239/VPWS:63621
VPLS:30149|10.204.134.206/VPLS:30149
L2CKT:29276|143.0.68.244/L2CKT:29276
VPWS:23917|10.204.66.99/VPWS:23917
L2CKT:32557|10.204.144.73/L2CKT:32557
VPWS:28464|143.0.68.169/VPWS:28464
VPWS:29615|10.204.8.75/VPWS:29615
VPLS:25820|150.0.0.168/VPLS:25820
VPWS:32000|10.204.134.219/VPWS:32000
VPWS:28700|150.0.0.215/VPWS:28700
VPLS:24019|10.144.0.137/VPLS:24019
VPWS:27516|149.0.3.194/VPWS:27516
L2CKT:30144|10.204.84.251/L2CKT:30144
VPLS:25651|10.204.9.64/VPLS:25651
VPWS:28346|149.0.3.202/VPWS:28346
L2CKT:32614|10.204.144.66/L2CKT:32614
VPWS:26508|149.0.3.135/VPWS:26508
VPWS:63621|10.204.90.231/VPWS:63621
VPLS:20578|12.123.80.27/VPLS:20578
VPLS:27542|149.0.3.244/VPLS:27542
VPLS:20637|10.144.0.61/VPLS:20637
VPWS:30420|10.0.40.35/VPWS:30420
VPWS:25824|10.204.84.72/VPWS:25824
VPLS:30047|10.204.9.52/VPLS:30047
VPLS:21509|192.168.113.111/VPLS:21509
VPLS:32454|192.168.113.86/VPLS:32454
VPLS:23693|192.168.113.174/VPLS:23693
VPLS:52048|10.204.176.72/VPLS:52048
null|10.204.90.155/null
VPLS:30834|10.204.11.141/VPLS:30834
VPWS:63606|10.204.90.231/VPWS:63606
VPLS:25808|10.204.84.4/VPLS:25808
VPWS:30434|10.204.134.201/VPWS:30434
VPLS:28706|10.204.85.94/VPLS:28706
VPWS:24072|192.168.113.147/VPWS:24072
L2CKT:28893|143.0.68.244/L2CKT:28893
L2CKT:27576|10.204.84.246/L2CKT:27576
VPLS:30041|10.204.8.75/VPLS:30041
VPWS:26508|143.0.68.46/VPWS:26508
23|10.204.80.210/23
VPWS:29050|10.204.132.87/VPWS:29050
VPWS:30003|148.0.131.204/VPWS:30003
VPWS:32599|10.204.67.78/VPWS:32599
VPLS:26503|143.0.68.46/VPLS:26503
VPLS:24073|10.144.0.137/VPLS:24073
VPWS:23817|10.204.82.173/VPWS:23817
VPLS:25865|10.204.9.67/VPLS:25865
VPWS:25860|149.9.0.27/VPWS:25860
VPLS:29479|10.204.132.92/VPLS:29479
VPWS:28964|143.0.68.230/VPWS:28964
VPWS:25860|10.204.9.31/VPWS:25860
L2CKT:29275|143.0.68.244/L2CKT:29275
L2CKT:28056|10.204.10.33/L2CKT:28056
VPWS:63696|10.204.90.232/VPWS:63696
VPLS:20553|10.204.208.84/VPLS:20553
126|8.8.0.242/126
VPWS:29491|10.204.132.97/VPWS:29491
VPWS:26775|150.0.0.168/VPWS:26775
VPLS:22400|10.204.81.118/VPLS:22400
VPLS:28844|10.204.10.163/VPLS:28844
VPLS:21509|192.168.113.48/VPLS:21509
VPLS:26463|10.204.83.194/VPLS:26463
VPWS:31983|143.0.24.148/VPWS:31983
VPWS:27461|10.144.0.147/VPWS:27461
VPWS:27540|10.204.85.14/VPWS:27540
VPLS:27195|10.204.85.35/VPLS:27195
VPWS:21888|10.144.0.123/VPWS:21888
VPWS:29272|10.204.9.85/VPWS:29272
null|8.8.0.172/null
VPLS:22330|10.204.65.114/VPLS:22330
VPLS:21651|10.204.65.64/VPLS:21651
L2CKT:22014|10.204.65.135/L2CKT:22014
L2CKT:30404|192.168.128.102/L2CKT:30404
VPLS:23852|10.204.82.173/VPLS:23852
VPLS:23782|10.204.82.198/VPLS:23782
VPLS:30491|10.204.11.141/VPLS:30491
VPWS:22474|12.123.80.46/VPWS:22474
VPWS:27550|10.204.84.246/VPWS:27550
VPWS:27561|149.0.3.196/VPWS:27561
VPWS:27831|12.123.80.212/VPWS:27831
VPLS:30588|149.4.64.5/VPLS:30588
VPWS:28799|10.204.10.114/VPWS:28799
VPWS:22474|10.204.65.114/VPWS:22474
VPWS:30143|10.204.134.202/VPWS:30143
L2CKT:2351|10.144.0.137/L2CKT:2351
VPWS:31253|10.204.134.201/VPWS:31253
VPLS:22784|10.204.64.193/VPLS:22784
VPLS:26503|10.204.84.132/VPLS:26503
VPLS:22308|12.123.80.214/VPLS:22308
VPLS:30002|148.0.131.239/VPLS:30002
VPWS:27786|149.0.3.222/VPWS:27786
VPLS:63131|10.204.90.173/VPLS:63131
VPLS:31302|192.168.113.79/VPLS:31302
VPLS:24130|10.204.8.141/VPLS:24130
VPLS:30355|192.168.113.165/VPLS:30355
VPWS:63252|8.8.0.172/VPWS:63252
VPLS:51688|10.204.176.75/VPLS:51688
VPWS:22442|10.204.81.176/VPWS:22442
VPWS:31952|10.204.134.216/VPWS:31952
VPLS:29247|143.0.68.230/VPLS:29247
VPLS:25582|149.9.0.6/VPLS:25582
VPLS:22121|12.123.80.46/VPLS:22121
VPWS:28704|10.204.8.109/VPWS:28704
L2CKT:28611|10.204.10.102/L2CKT:28611
VPLS:27975|10.204.9.249/VPLS:27975
VPWS:26211|150.0.0.168/VPWS:26211
VPLS:17568|12.122.72.112/VPLS:17568
VPLS:31662|10.144.0.154/VPLS:31662
VPWS:31752|10.204.9.52/VPWS:31752
VPWS:30033|148.0.131.204/VPWS:30033
VPLS:26500|149.0.3.135/VPLS:26500
L2CKT:32351|10.144.0.154/L2CKT:32351
VPLS:23056|10.0.36.73/VPLS:23056
VPWS:27461|192.168.113.164/VPWS:27461
VPWS:63670|10.204.166.81/VPWS:63670
VPLS:28439|149.0.3.203/VPLS:28439
VPLS:29572|143.0.68.247/VPLS:29572
VPLS:30135|143.0.68.184/VPLS:30135
L2CKT:32879|10.204.144.66/L2CKT:32879
VPLS:61571|10.204.166.81/VPLS:61571
VPWS:31731|10.144.0.137/VPWS:31731
VPWS:30114|10.204.11.141/VPWS:30114
VPWS:28616|10.0.40.35/VPWS:28616
VPWS:26595|149.0.3.135/VPWS:26595
VPLS:23475|148.0.131.182/VPLS:23475
VPWS:22671|12.123.80.27/VPWS:22671
VPLS:19538|10.24.76.145/VPLS:19538
VPLS:29388|148.0.131.239/VPLS:29388
VPLS:25905|10.204.9.98/VPLS:25905
VPLS:29684|10.204.132.87/VPLS:29684
VPLS:23487|192.168.113.188/VPLS:23487
VPWS:23854|10.204.82.198/VPWS:23854
VPLS:32010|10.204.134.209/VPLS:32010
VPWS:30828|192.168.113.179/VPWS:30828
VPWS:29562|10.204.8.75/VPWS:29562
VPWS:32000|10.204.132.87/VPWS:32000
VPWS:28900|10.204.81.195/VPWS:28900
VPWS:26047|10.204.83.211/VPWS:26047
VPLS:29675|10.204.8.75/VPLS:29675
VPLS:26463|143.0.68.18/VPLS:26463
VPWS:27768|10.144.0.147/VPWS:27768
VPLS:25862|143.0.68.43/VPLS:25862
VPLS:25461|150.0.0.215/VPLS:25461
VPWS:26554|10.204.83.211/VPWS:26554
VPLS:22413|12.123.80.214/VPLS:22413
VPWS:22776|12.123.80.27/VPWS:22776
VPLS:22116|10.204.80.210/VPLS:22116
VPLS:32139|143.0.24.145/VPLS:32139
VPLS:31293|12.123.68.6/VPLS:31293
VPLS:28874|143.0.68.170/VPLS:28874
VPLS:32139|10.204.132.235/VPLS:32139
L2CKT:22017|10.204.65.133/L2CKT:22017
VPWS:25998|10.204.9.103/VPWS:25998
VPWS:28375|143.0.68.169/VPWS:28375
VPLS:21559|12.123.80.152/VPLS:21559
VPLS:27972|10.204.80.213/VPLS:27972
VPLS:25686|150.0.0.168/VPLS:25686
VPWS:27558|149.0.3.196/VPWS:27558
VPWS:25507|10.204.9.67/VPWS:25507
VPLS:25577|10.204.8.75/VPLS:25577
VPLS:32444|10.204.144.73/VPLS:32444
VPLS:26703|10.204.84.155/VPLS:26703
VPLS:22356|12.123.80.214/VPLS:22356
VPLS:26466|10.204.83.195/VPLS:26466
VPWS:25966|10.204.32.70/VPWS:25966
VPWS:29164|10.204.134.201/VPWS:29164
VPWS:27541|149.0.3.196/VPWS:27541
VPLS:52300|10.204.200.118/VPLS:52300
VPLS:28939|10.204.10.163/VPLS:28939
VPLS:26462|10.204.84.125/VPLS:26462
VPLS:28955|143.0.68.212/VPLS:28955
VPLS:25965|10.204.9.103/VPLS:25965
VPLS:29108|143.0.68.230/VPLS:29108
VPLS:20887|10.204.80.96/VPLS:20887
VPLS:30551|143.0.68.184/VPLS:30551
VPWS:30774|143.0.68.214/VPWS:30774
VPLS:29570|10.204.11.42/VPLS:29570
VPLS:22549|10.204.81.194/VPLS:22549
VPLS:63880|10.204.90.193/VPLS:63880
VPLS:23604|10.204.66.99/VPLS:23604
VPWS:28986|10.144.0.136/VPWS:28986
L2CKT:30521|10.204.132.81/L2CKT:30521
L2CKT:26720|10.204.84.155/L2CKT:26720
VPLS:27640|149.0.3.202/VPLS:27640
VPLS:21639|10.144.0.147/VPLS:21639
VPLS:21924|10.204.16.65/VPLS:21924
VPWS:29585|10.204.132.97/VPWS:29585
VPLS:24547|10.204.66.99/VPLS:24547
VPLS:18960|12.122.72.115/VPLS:18960
VPWS:63829|10.204.90.231/VPWS:63829
L2CKT:27925|10.204.9.244/L2CKT:27925
L2CKT:26945|10.204.84.151/L2CKT:26945
VPLS:24202|10.204.66.99/VPLS:24202
VPWS:30904|143.0.68.184/VPWS:30904
VPWS:28799|143.0.68.184/VPWS:28799
VPWS:26554|150.0.0.168/VPWS:26554
VPWS:25619|149.9.0.27/VPWS:25619
VPWS:22440|10.204.81.136/VPWS:22440
VPLS:30047|10.204.132.140/VPLS:30047
VPLS:30555|149.4.64.5/VPLS:30555
VPWS:28991|10.204.132.87/VPWS:28991
VPLS:30938|143.0.68.184/VPLS:30938
L2CKT:31918|10.204.132.233/L2CKT:31918
VPLS:32075|10.144.0.155/VPLS:32075
VPLS:30491|143.0.68.184/VPLS:30491
L2CKT:27496|10.204.84.245/L2CKT:27496
L2CKT:32144|10.144.0.154/L2CKT:32144
VPLS:29269|143.0.68.230/VPLS:29269
VPWS:28473|143.0.68.169/VPWS:28473
VPLS:28849|10.204.83.156/VPLS:28849
VPWS:22930|10.204.82.66/VPWS:22930
L2CKT:31636|10.204.11.248/L2CKT:31636
VPLS:31279|149.4.64.1/VPLS:31279
VPWS:29872|10.204.134.202/VPWS:29872
VPLS:24338|10.204.66.99/VPLS:24338
VPLS:29398|143.0.68.200/VPLS:29398
VPWS:26025|10.204.83.211/VPWS:26025
VPLS:52293|10.204.176.72/VPLS:52293
VPWS:29224|10.204.81.195/VPWS:29224
VPLS:26982|10.144.0.137/VPLS:26982
VPWS:28346|10.204.83.98/VPWS:28346
VPWS:23416|192.168.113.111/VPWS:23416
VPWS:29124|10.204.134.201/VPWS:29124
L2CKT:25861|10.204.9.31/L2CKT:25861
VPLS:27243|10.0.38.74/VPLS:27243
VPLS:51610|12.82.0.62/VPLS:51610
VPLS:17653|72.44.12.28/VPLS:17653
VPLS:25690|10.204.8.108/VPLS:25690
VPLS:27618|149.0.3.207/VPLS:27618
L2CKT:30178|10.144.0.137/L2CKT:30178
VPLS:24099|10.144.0.137/VPLS:24099
VPLS:31416|10.204.134.201/VPLS:31416
VPWS:30552|143.0.68.184/VPWS:30552
VPLS:29572|143.0.68.230/VPLS:29572
VPWS:23735|10.204.82.173/VPWS:23735
VPLS:31300|10.144.0.137/VPLS:31300
VPLS:63129|10.204.90.173/VPLS:63129
VPLS:24237|10.204.66.99/VPLS:24237
VPLS:28293|10.204.10.47/VPLS:28293
VPLS:23475|10.204.82.173/VPLS:23475
L2CKT:31583|10.204.11.251/L2CKT:31583
VPLS:26774|10.204.83.211/VPLS:26774
VPLS:52257|10.204.176.84/VPLS:52257
VPWS:27270|10.204.84.210/VPWS:27270
VPWS:26618|10.204.83.211/VPWS:26618
VPWS:29119|143.0.68.230/VPWS:29119
VPLS:62925|10.204.90.99/VPLS:62925
VPWS:63252|10.204.90.99/VPWS:63252
VPLS:51648|10.204.176.82/VPLS:51648
L2CKT:32187|10.144.0.155/L2CKT:32187
VPLS:28110|149.0.3.222/VPLS:28110
VPWS:25942|150.0.0.168/VPWS:25942
VPWS:31732|10.204.67.107/VPWS:31732
VPWS:22436|12.123.80.214/VPWS:22436
VPLS:26502|10.204.84.132/VPLS:26502
VPWS:28375|150.0.0.215/VPWS:28375
L2CKT:31322|10.144.0.136/L2CKT:31322
VPWS:28730|143.0.68.169/VPWS:28730
VPLS:28934|143.0.68.242/VPLS:28934
VPLS:19517|12.122.72.115/VPLS:19517
VPLS:28751|10.204.9.156/VPLS:28751
VPWS:28542|10.0.36.78/VPWS:28542
VPLS:27881|10.204.85.54/VPLS:27881
VPLS:22079|12.123.80.212/VPLS:22079
VPLS:22972|10.0.36.73/VPLS:22972
VPLS:23693|192.168.113.188/VPLS:23693
VPWS:26047|150.0.0.168/VPWS:26047
