@ref(networkElement)|@const(IpagTunnel)class
@index(Tunnel)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|device_name|device_model|device_type|ptnii|tunnel_alias|tunnel_head_ptnii|tunnel_name|tunnel_type|tunnel_tail_dns|tunnel_tail_ptnii
12.82.0.59/AN1CA302IA2_CSACA301IA1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_CSACA301IA1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_CSACA301IA1_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_CSACA301IA1_P_2_15_2_DEFAULT|P|CSACA301IA1|csaca301ia1
12.82.0.59/AN1CA302IA2_LSDCA303IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSDCA303IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSDCA303IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSDCA303IA2_P_2_15_2_DEFAULT|P|LSDCA303IA2|lsdca303ia2
12.82.0.59/AN1CA302IA2_LSGCA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSGCA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSGCA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSGCA301IA2_P_2_15_2_DEFAULT|P|LSGCA301IA2|lsgca301ia2
12.82.0.59/AN1CA302IA2_LSBCA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSBCA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSBCA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSBCA301IA2_P_2_5_1_PRIORITY|P|LSBCA301IA2|lsbca301ia2
12.82.118.12/tunnel-te64002|12.82.118.12/tunnel-te64002|12.82.118.12/tunnel-te64002|||OEW-VPLS|||TLSOK301VR1|JUNIPER MX960|VR1||||tunnel-te64002|B||tlsok302vr1
12.82.0.59/AN1CA302IA2_LSBCA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSBCA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LSBCA302IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSBCA302IA2_P_2_15_2_DEFAULT|P|LSBCA302IA2|lsbca302ia2
12.82.0.59/AN1CA302IA2_AN1CA301IB1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_AN1CA301IB1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_AN1CA301IB1_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_AN1CA301IB1_P_2_5_1_PRIORITY|P|AN1CA301IB1|an1ca301ib1
12.82.0.59/AN1CA302IA2_LS3CA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LS3CA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_LS3CA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LS3CA301IA2_P_2_15_2_DEFAULT|P|LS3CA301IA2|ls3ca301ia2
12.82.0.59/AN1CA302IA2_GR2CA302VR1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_GR2CA302VR1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_GR2CA302VR1_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_GR2CA302VR1_P_2_5_1_PRIORITY|P|GR2CA302VR1|gr2ca302vr1
12.82.0.59/AN1CA302IA2_SNZCA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_SNZCA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_SNZCA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_SNZCA301IA2_P_2_15_2_DEFAULT|P|SNZCA301IA2|snzca301ia2
12.82.0.59/AN1CA302IA2_ORCCA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_ORCCA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_ORCCA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_ORCCA301IA2_P_2_5_1_PRIORITY|P|ORCCA301IA2|orcca301ia2
12.82.0.59/AN1CA302IA2_AN1CA301IB1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_AN1CA301IB1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_AN1CA301IB1_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_AN1CA301IB1_P_2_15_2_DEFAULT|P|AN1CA301IB1|an1ca301ib1
12.82.0.59/AN1CA302IA2_GR2CA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_GR2CA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_GR2CA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_GR2CA301IA2_P_2_5_1_PRIORITY|P|GR2CA301IA2|gr2ca301ia2
12.82.0.59/AN1CA302IA2_LS3CA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LS3CA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LS3CA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LS3CA301IA2_P_2_5_1_PRIORITY|P|LS3CA301IA2|ls3ca301ia2
12.82.0.59/AN1CA302IA2_SHACA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_SHACA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_SHACA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_SHACA301IA2_P_2_5_1_PRIORITY|P|SHACA301IA2|shaca301ia2
12.82.0.59/AN1CA302IA2_LSBCA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSBCA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSBCA302IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSBCA302IA2_P_2_5_1_PRIORITY|P|LSBCA302IA2|lsbca302ia2
12.82.0.59/AN1CA302IA2_RSACA301IA1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_RSACA301IA1_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_RSACA301IA1_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_RSACA301IA1_P_2_15_2_DEFAULT|P|RSACA301IA1|rsaca301ia1
12.82.0.59/AN1CA302IA2_LSDCA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSDCA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSDCA302IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSDCA302IA2_P_2_5_1_PRIORITY|P|LSDCA302IA2|lsdca302ia2
12.82.0.59/AN1CA302IA2_LA2CA301VR1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LA2CA301VR1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LA2CA301VR1_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LA2CA301VR1_P_2_5_1_PRIORITY|P|LA2CA301VR1|la2ca301vr1
12.82.0.59/AN1CA302IA2_ORCCA301IA2_B_2_1_1_BYPASS|12.82.0.59/AN1CA302IA2_ORCCA301IA2_B_2_1_1_BYPASS|12.82.0.59/AN1CA302IA2_ORCCA301IA2_B_2_1_1_BYPASS|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_ORCCA301IA2_B_2_1_1_BYPASS|B|ORCCA301IA2|orcca301ia2
12.82.0.59/AN1CA302IA2_GLACA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_GLACA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_GLACA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_GLACA301IA2_P_2_5_1_PRIORITY|P|GLACA301IA2|glaca301ia2
12.82.0.59/AN1CA302IA2_LA2CA302VR1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LA2CA302VR1_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LA2CA302VR1_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LA2CA302VR1_P_2_5_1_PRIORITY|P|LA2CA302VR1|la2ca302vr1
12.82.0.59/AN1CA302IA2_SNZCA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_SNZCA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_SNZCA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_SNZCA301IA2_P_2_5_1_PRIORITY|P|SNZCA301IA2|snzca301ia2
12.82.0.59/AN1CA302IA2_NHBCA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_NHBCA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_NHBCA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_NHBCA301IA2_P_2_5_1_PRIORITY|P|NHBCA301IA2|nhbca301ia2
12.82.0.59/AN1CA302IA2_SHACA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_SHACA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_SHACA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_SHACA301IA2_P_2_15_2_DEFAULT|P|SHACA301IA2|shaca301ia2
12.82.0.59/AN1CA302IA2_CSACA301IA1_B_2_1_1_BYPASS|12.82.0.59/AN1CA302IA2_CSACA301IA1_B_2_1_1_BYPASS|12.82.0.59/AN1CA302IA2_CSACA301IA1_B_2_1_1_BYPASS|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_CSACA301IA1_B_2_1_1_BYPASS|B|CSACA301IA1|csaca301ia1
12.82.0.59/AN1CA302IA2_IRACA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_IRACA302IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_IRACA302IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_IRACA302IA2_P_2_5_1_PRIORITY|P|IRACA302IA2|iraca302ia2
12.82.0.59/AN1CA302IA2_GR2CA303IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_GR2CA303IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_GR2CA303IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_GR2CA303IA2_P_2_5_1_PRIORITY|P|GR2CA303IA2|gr2ca303ia2
12.82.0.59/AN1CA302IA2_RSACA301IA1_B_2_1_1_BYPASS|12.82.0.59/AN1CA302IA2_RSACA301IA1_B_2_1_1_BYPASS|12.82.0.59/AN1CA302IA2_RSACA301IA1_B_2_1_1_BYPASS|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_RSACA301IA1_B_2_1_1_BYPASS|B|RSACA301IA1|rsaca301ia1
12.82.0.59/AN1CA302IA2_LSGCA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSGCA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_LSGCA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_LSGCA301IA2_P_2_5_1_PRIORITY|P|LSGCA301IA2|lsgca301ia2
12.82.0.59/AN1CA302IA2_IRACA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_IRACA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_IRACA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_IRACA301IA2_P_2_5_1_PRIORITY|P|IRACA301IA2|iraca301ia2
12.82.118.4/tunnel-te50000|12.82.118.4/tunnel-te50000|12.82.118.4/tunnel-te50000|||OEW-VPLS|||OKYOK301VR1|JUNIPER MX960|VR1||||tunnel-te50000|P||dlstx21crs
12.82.0.59/AN1CA302IA2_AN1CA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_AN1CA301IA2_P_2_5_1_PRIORITY|12.82.0.59/AN1CA302IA2_AN1CA301IA2_P_2_5_1_PRIORITY|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_AN1CA301IA2_P_2_5_1_PRIORITY|P|AN1CA301IA2|an1ca301ia2
12.82.0.59/AN1CA302IA2_ORCCA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_ORCCA301IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_ORCCA301IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_ORCCA301IA2_P_2_15_2_DEFAULT|P|ORCCA301IA2|orcca301ia2
12.82.0.59/AN1CA302IA2_SNZCA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_SNZCA302IA2_P_2_15_2_DEFAULT|12.82.0.59/AN1CA302IA2_SNZCA302IA2_P_2_15_2_DEFAULT|||OEW-SROUTER|||ANHMCA010BW|MX960|JUNIPER MX SERIES|AN1CA302IA2||an1ca302ia2|AN1CA302IA2_SNZCA302IA2_P_2_15_2_DEFAULT|P|SNZCA302IA2|snzca302ia2
