@rel(Composed_Of)
@from(CE_LPort)key|@to(EVCNode)key
10.204.134.201/22/13|10.204.134.201/VPLS:30120
10.204.9.69/28/4|10.204.9.69/VPLS:25585
10.204.134.201/21/8|10.204.134.201/VPLS:28849
10.204.172.70/26/4|10.204.172.70/VPLS:52637
10.204.172.70/26/4|10.204.172.70/VPLS:52638
10.204.80.210/26/4|10.204.80.210/VPLS:22142
10.204.176.84/10/1|10.204.176.84/VPLS:52293
10.204.134.201/22/13|10.204.134.201/VPWS:29164
10.204.134.201/23/14|10.204.134.201/VPWS:31574
10.204.134.201/21/8|10.204.134.201/VPLS:28847
10.204.176.72/22/5|10.204.176.72/VPLS:51663
10.204.176.72/21/5|10.204.176.72/VPLS:51661
10.204.134.201/21/8|10.204.134.201/VPLS:31416
10.204.134.201/21/8|10.204.134.201/L2CKT:29983
10.204.134.201/23/14|10.204.134.201/VPLS:29599
10.204.176.72/21/5|10.204.176.72/VPLS:52257
10.204.134.201/24/15|10.204.134.201/VPLS:28849
10.204.134.201/21/8|10.204.134.201/VPLS:28848
10.204.80.210/1/5|10.204.80.210/VPLS:22105
10.204.176.72/21/5|10.204.176.72/VPLS:52040
10.204.134.201/22/13|10.204.134.201/L2CKT:29236
10.204.10.33/9/1|10.204.10.33/VPLS:28052
10.204.134.201/24/15|10.204.134.201/VPWS:31253
10.204.134.201/24/15|10.204.134.201/L2CKT:29236
192.168.113.182/1/5|192.168.113.182/VPLS:23829
10.204.134.201/24/15|10.204.134.201/VPWS:30504
10.204.134.201/22/13|10.204.134.201/L2CKT:30104
10.204.134.201/24/15|10.204.134.201/L2CKT:29589
10.204.9.69/25/1|10.204.9.69/VPWS:25870
10.204.134.201/21/8|10.204.134.201/VPLS:29600
10.204.134.201/21/8|10.204.134.201/VPLS:29599
10.204.9.69/28/4|10.204.9.69/VPLS:25875
10.204.134.201/22/13|10.204.134.201/VPWS:30194
192.168.113.182/7/2|192.168.113.182/VPLS:23829
10.204.134.201/22/13|10.204.134.201/VPWS:29166
10.204.134.201/24/15|10.204.134.201/VPWS:30836
10.204.134.201/22/13|10.204.134.201/VPWS:29160
10.204.9.69/25/1|10.204.9.69/VPLS:25611
10.204.134.201/24/15|10.204.134.201/VPWS:30194
10.204.134.201/21/8|10.204.134.201/VPWS:30184
10.204.9.69/25/1|10.204.9.69/VPLS:26489
10.204.134.201/23/14|10.204.134.201/VPWS:29113
10.204.176.72/22/5|10.204.176.72/VPLS:51661
10.204.134.201/23/14|10.204.134.201/VPWS:30836
10.204.134.201/24/15|10.204.134.201/VPWS:30619
10.204.176.72/21/5|10.204.176.72/VPLS:52048
10.204.134.201/21/8|10.204.134.201/VPWS:29124
10.204.134.201/21/8|10.204.134.201/L2CKT:30104
10.204.83.97/SM-A/1/6|10.204.83.97/VPWS:28956
10.204.134.201/21/8|10.204.134.201/VPWS:31574
10.204.134.201/23/14|10.204.134.201/L2CKT:30104
10.204.134.201/21/8|10.204.134.201/VPWS:29113
10.204.134.201/21/8|10.204.134.201/L2CKT:29236
10.204.134.201/24/15|10.204.134.201/VPWS:30143
10.204.161.22/10/8|10.204.161.22/VPWS:33636
10.204.176.84/10/1|10.204.176.84/VPLS:52289
10.204.176.72/21/5|10.204.176.72/VPLS:51663
10.204.134.201/24/15|10.204.134.201/VPLS:30952
10.204.134.201/21/8|10.204.134.201/L2CKT:29589
10.204.134.201/21/8|10.204.134.201/VPLS:30952
10.204.134.201/21/8|10.204.134.201/VPWS:29166
10.204.134.201/23/14|10.204.134.201/VPWS:30434
10.204.134.201/24/15|10.204.134.201/VPLS:31252
10.204.134.201/24/15|10.204.134.201/VPWS:29164
192.168.113.241/101/5|192.168.113.241/L2CKT:29226
10.204.134.201/23/14|10.204.134.201/VPWS:30289
10.204.134.201/24/15|10.204.134.201/VPWS:29160
10.204.176.72/21/5|10.204.176.72/VPLS:51648
10.204.134.201/22/13|10.204.134.201/VPWS:30143
10.204.134.201/23/14|10.204.134.201/VPLS:30952
10.204.134.201/22/13|10.204.134.201/VPWS:30836
10.204.176.84/10/1|10.204.176.84/VPLS:52268
10.204.9.69/25/1|10.204.9.69/VPLS:25585
10.204.134.201/23/14|10.204.134.201/VPWS:31752
10.204.80.210/26/4|10.204.80.210/VPLS:22105
10.204.176.72/22/5|10.204.176.72/VPLS:52289
10.204.134.201/23/14|10.204.134.201/VPWS:30454
10.204.134.201/22/13|10.204.134.201/VPWS:30504
10.204.134.201/22/13|10.204.134.201/VPLS:32010
10.204.9.69/28/4|10.204.9.69/VPLS:25582
10.204.134.201/24/15|10.204.134.201/VPWS:29124
10.204.134.201/22/13|10.204.134.201/VPLS:31252
10.204.134.201/24/15|10.204.134.201/VPWS:31004
10.204.134.201/23/14|10.204.134.201/VPLS:30120
10.204.10.33/9/1|10.204.10.33/VPLS:28051
10.204.80.210/3/12|10.204.80.210/VPLS:22142
10.204.134.201/21/8|10.204.134.201/VPWS:30454
10.204.9.69/28/4|10.204.9.69/VPWS:26217
10.204.134.201/23/14|10.204.134.201/VPWS:30924
10.204.134.201/23/14|10.204.134.201/VPLS:28847
10.204.134.201/24/15|10.204.134.201/VPWS:30666
10.204.9.69/25/1|10.204.9.69/VPLS:25582
10.204.134.201/24/15|10.204.134.201/VPLS:30120
10.204.134.201/21/8|10.204.134.201/VPWS:29587
10.204.134.201/22/13|10.204.134.201/VPWS:29124
10.204.9.69/25/1|10.204.9.69/VPLS:25875
10.204.134.201/24/15|10.204.134.201/VPLS:30248
10.204.176.72/21/5|10.204.176.72/VPLS:51688
10.204.134.201/23/14|10.204.134.201/VPWS:30143
10.204.176.72/21/5|10.204.176.72/VPLS:52221
10.204.83.165/301/2|10.204.83.165/VPWS:28956
10.204.9.69/25/1|10.204.9.69/VPWS:25619
10.204.134.201/23/14|10.204.134.201/VPLS:29600
10.204.134.201/22/13|10.204.134.201/VPWS:30383
10.204.134.201/22/13|10.204.134.201/VPWS:30924
10.204.9.69/25/1|10.204.9.69/VPWS:25877
10.204.134.201/21/8|10.204.134.201/VPWS:30504
10.204.134.201/23/14|10.204.134.201/VPWS:29124
10.204.134.201/24/15|10.204.134.201/VPLS:30925
10.204.134.201/22/13|10.204.134.201/VPLS:29602
10.204.134.201/22/13|10.204.134.201/VPLS:31005
10.204.134.201/22/13|10.204.134.201/VPWS:30289
10.204.10.33/5/4|10.204.10.33/L2CKT:28057
10.204.134.201/21/8|10.204.134.201/VPLS:29129
10.204.134.201/24/15|10.204.134.201/VPWS:29152
10.204.134.201/22/13|10.204.134.201/VPWS:30454
10.204.80.210/1/5|10.204.80.210/VPLS:22079
10.204.176.84/10/1|10.204.176.84/VPLS:52221
10.204.134.201/22/13|10.204.134.201/VPWS:29587
10.204.134.201/22/13|10.204.134.201/VPLS:31416
10.204.134.201/24/15|10.204.134.201/VPLS:31005
10.204.134.201/23/14|10.204.134.201/VPLS:31416
10.204.134.201/21/8|10.204.134.201/VPLS:31252
10.204.134.201/22/13|10.204.134.201/VPWS:29152
10.204.134.201/22/13|10.204.134.201/VPWS:29113
10.204.134.201/21/8|10.204.134.201/VPWS:31004
10.204.134.201/22/13|10.204.134.201/VPWS:30434
10.204.134.201/23/14|10.204.134.201/VPWS:29152
10.204.134.201/24/15|10.204.134.201/VPWS:31574
10.204.134.201/23/14|10.204.134.201/VPLS:29129
10.204.134.201/22/13|10.204.134.201/VPWS:29872
10.204.134.201/23/14|10.204.134.201/VPWS:30619
192.168.113.181/303/7|192.168.113.181/VPLS:22419
10.204.10.33/9/1|10.204.10.33/L2CKT:28058
10.204.134.201/21/8|10.204.134.201/VPLS:32010
10.204.10.33/5/4|10.204.10.33/L2CKT:28056
10.204.176.84/10/1|10.204.176.84/VPLS:52257
10.204.176.72/22/5|10.204.176.72/VPLS:52221
10.204.9.69/28/4|10.204.9.69/VPLS:25581
10.204.176.72/22/5|10.204.176.72/VPLS:52268
10.204.176.72/22/5|10.204.176.72/VPLS:51657
10.204.134.201/24/15|10.204.134.201/VPWS:30953
10.204.134.201/24/15|10.204.134.201/VPWS:29113
10.204.134.201/22/13|10.204.134.201/VPWS:30904
10.204.134.201/21/8|10.204.134.201/VPWS:30836
10.204.134.201/22/13|10.204.134.201/VPLS:30925
10.204.134.201/21/8|10.204.134.201/VPWS:30194
10.204.134.201/24/15|10.204.134.201/VPWS:30924
10.204.161.22/11/1|10.204.161.22/VPWS:30552
10.204.80.210/26/4|10.204.80.210/23
10.204.134.201/22/13|10.204.134.201/L2CKT:29589
10.204.80.210/26/4|10.204.80.210/VPLS:22093
10.204.134.201/21/8|10.204.134.201/VPLS:30120
10.204.134.201/24/15|10.204.134.201/VPWS:29166
10.204.134.201/21/8|10.204.134.201/VPWS:30383
10.204.9.69/25/1|10.204.9.69/VPLS:25810
10.204.134.201/24/15|10.204.134.201/VPWS:29587
10.204.176.72/22/5|10.204.176.72/VPLS:51688
10.204.134.201/24/15|10.204.134.201/VPWS:30434
10.204.134.201/22/13|10.204.134.201/VPWS:30953
10.204.176.72/21/5|10.204.176.72/VPLS:52293
10.204.134.201/21/8|10.204.134.201/VPWS:29160
10.204.134.201/23/14|10.204.134.201/VPWS:30953
10.204.134.201/22/13|10.204.134.201/VPWS:30666
10.204.10.33/9/1|10.204.10.33/L2CKT:28056
10.204.161.22/12/5|10.204.161.22/VPWS:33636
10.204.134.201/22/13|10.204.134.201/VPLS:30248
10.204.134.201/21/8|10.204.134.201/VPLS:31005
192.168.113.181/302/2|192.168.113.181/VPLS:31300
10.204.134.201/22/13|10.204.134.201/VPWS:31417
10.204.134.201/24/15|10.204.134.201/VPWS:30184
10.204.176.72/21/5|10.204.176.72/VPLS:51657
10.204.172.70/27/2|10.204.172.70/VPLS:52638
10.204.12.81/0/6|10.204.12.81/VPLS:32266
10.204.9.95/22/11|10.204.9.95/VPWS:26217
10.204.134.201/23/14|10.204.134.201/VPWS:30504
10.204.1.80/1/4|10.204.1.80/VPWS:25014
10.204.134.201/21/8|10.204.134.201/VPWS:29164
10.204.134.201/23/14|10.204.134.201/VPWS:31253
10.204.134.201/24/15|10.204.134.201/VPWS:29872
10.204.134.201/22/13|10.204.134.201/VPWS:30619
10.204.134.201/21/8|10.204.134.201/VPWS:30904
10.204.134.201/23/14|10.204.134.201/VPLS:31124
10.204.80.210/26/4|10.204.80.210/VPLS:22116
10.204.134.201/22/13|10.204.134.201/VPLS:28848
10.204.10.33/5/4|10.204.10.33/VPLS:28051
10.204.134.201/21/8|10.204.134.201/VPWS:29872
10.204.134.201/21/8|10.204.134.201/VPWS:30619
10.204.176.72/21/5|10.204.176.72/VPLS:52268
10.204.134.201/23/14|10.204.134.201/VPWS:30194
10.204.134.201/22/13|10.204.134.201/VPWS:31752
10.204.176.72/22/5|10.204.176.72/VPLS:52257
10.204.134.201/23/14|10.204.134.201/VPWS:30184
10.204.134.201/23/14|10.204.134.201/VPLS:28848
10.204.134.201/22/13|10.204.134.201/VPWS:31574
10.204.134.201/24/15|10.204.134.201/VPWS:30383
10.204.134.201/22/13|10.204.134.201/VPLS:29599
10.204.80.210/1/5|10.204.80.210/VPLS:22093
10.204.134.201/23/14|10.204.134.201/VPLS:30248
10.204.176.72/22/5|10.204.176.72/VPLS:51648
10.204.134.201/23/14|10.204.134.201/VPLS:32010
10.204.134.201/23/14|10.204.134.201/VPWS:29164
10.204.134.201/24/15|10.204.134.201/VPLS:31124
10.204.134.201/23/14|10.204.134.201/VPLS:29602
10.204.134.201/23/14|10.204.134.201/VPWS:30383
10.204.134.201/23/14|10.204.134.201/VPLS:31252
10.204.134.201/23/14|10.204.134.201/VPWS:31004
10.204.134.201/21/8|10.204.134.201/VPWS:31253
10.204.134.201/23/14|10.204.134.201/VPWS:29166
10.204.1.80/25/1|10.204.1.80/VPWS:25014
10.204.134.201/21/8|10.204.134.201/VPLS:30925
10.204.134.201/24/15|10.204.134.201/VPLS:31416
192.168.113.180/SM-B/1/3|192.168.113.180/VPLS:22419
10.204.9.69/28/4|10.204.9.69/VPLS:25611
192.168.113.180/SM-B/1/3|192.168.113.180/VPLS:31300
10.204.176.84/10/1|10.204.176.84/VPLS:52212
10.204.134.201/23/14|10.204.134.201/VPWS:29872
10.204.134.201/21/8|10.204.134.201/VPLS:29602
10.204.10.33/9/1|10.204.10.33/L2CKT:28057
10.204.134.201/23/14|10.204.134.201/L2CKT:29236
10.204.10.33/5/4|10.204.10.33/VPLS:28053
10.204.134.201/24/15|10.204.134.201/L2CKT:30104
10.204.134.201/23/14|10.204.134.201/VPWS:31417
10.204.134.201/23/14|10.204.134.201/VPLS:28849
10.204.134.201/23/14|10.204.134.201/VPLS:31005
10.204.134.201/21/8|10.204.134.201/VPWS:30434
10.204.134.201/22/13|10.204.134.201/VPLS:28847
10.204.134.201/22/13|10.204.134.201/VPLS:29129
192.168.113.181/102/4|192.168.113.181/VPLS:31300
10.204.172.70/27/2|10.204.172.70/VPLS:52383
10.204.134.201/24/15|10.204.134.201/VPWS:30289
10.204.134.201/22/13|10.204.134.201/L2CKT:29983
10.204.134.201/22/13|10.204.134.201/VPLS:31124
10.204.134.201/24/15|10.204.134.201/VPWS:30454
10.204.134.201/24/15|10.204.134.201/VPWS:30904
10.204.176.72/21/5|10.204.176.72/VPLS:52289
10.204.134.201/24/15|10.204.134.201/VPLS:29602
10.204.176.72/21/5|10.204.176.72/VPLS:52152
10.204.134.201/23/14|10.204.134.201/VPWS:29587
10.204.12.81/0/6|10.204.12.81/VPLS:32267
10.204.176.72/22/5|10.204.176.72/VPLS:52048
192.168.113.180/SM-B/1/3|192.168.113.180/VPLS:23829
10.204.9.69/25/1|10.204.9.69/VPLS:25541
10.204.10.33/9/1|10.204.10.33/VPLS:28053
10.204.176.72/22/5|10.204.176.72/VPLS:52040
10.204.172.70/27/2|10.204.172.70/VPLS:52424
10.204.134.201/21/8|10.204.134.201/VPLS:30248
10.204.134.201/21/8|10.204.134.201/VPWS:30289
10.204.134.201/24/15|10.204.134.201/VPLS:29599
10.204.9.69/25/1|10.204.9.69/VPLS:25876
