@ref(networkElement)|@const(IpagCard)class
@index(PE_Card)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|card_type
143.0.68.242/5/0|143.0.68.242/5/0|143.0.68.242/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
10.144.0.65/5/2|10.144.0.65/5/2|10.144.0.65/5/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
143.0.24.132/4/0|143.0.24.132/4/0|143.0.24.132/4/0|ETHERNET-NFO|IPAG|IPAG|true|S|MIC3-3D-1X100GE-CFP
10.144.0.155/1/0|10.144.0.155/1/0|10.144.0.155/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.214/1/0|12.123.80.214/1/0|12.123.80.214/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.80.68.135/5/0|12.80.68.135/5/0|12.80.68.135/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.198/0/0|149.0.3.198/0/0|149.0.3.198/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.240/1/0|143.0.68.240/1/0|143.0.68.240/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|MIC-3D-20GE-SFP
143.0.24.237/1/0|143.0.24.237/1/0|143.0.24.237/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.29/2/0|12.123.80.29/2/0|12.123.80.29/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.154/1/2|10.144.0.154/1/2|10.144.0.154/1/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.0.3.202/4/0|149.0.3.202/4/0|149.0.3.202/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
10.144.0.65/4/0|10.144.0.65/4/0|10.144.0.65/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.9.0.27/0/0|149.9.0.27/0/0|149.9.0.27/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.147/4/3|10.144.0.147/4/3|10.144.0.147/4/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.212/2/1|12.123.80.212/2/1|12.123.80.212/2/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.247/3/1|143.0.68.247/3/1|143.0.68.247/3/1|ETHERNET-NFO|IPAG|IPAG|true|B|MIC-3D-20GE-SFP
12.123.80.27/0/0|12.123.80.27/0/0|12.123.80.27/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.154/1/0|10.144.0.154/1/0|10.144.0.154/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.137/1/1|10.144.0.137/1/1|10.144.0.137/1/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.24.130/4/3|143.0.24.130/4/3|143.0.24.130/4/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.197/1/0|12.123.80.197/1/0|12.123.80.197/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.241/0/0|143.0.68.241/0/0|143.0.68.241/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|MIC-3D-20GE-SFP
149.0.3.194/4/2|149.0.3.194/4/2|149.0.3.194/4/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-4XGE
12.80.72.65/0/0|12.80.72.65/0/0|12.80.72.65/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
8.8.0.154/0/1|8.8.0.154/0/1|8.8.0.154/0/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.24.144/2/3|143.0.24.144/2/3|143.0.24.144/2/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
8.8.0.154/1/0|8.8.0.154/1/0|8.8.0.154/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
148.0.131.182/4/1|148.0.131.182/4/1|148.0.131.182/4/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
143.0.68.168/4/0|143.0.68.168/4/0|143.0.68.168/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
149.0.3.222/1/1|149.0.3.222/1/1|149.0.3.222/1/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
10.144.0.154/2/0|10.144.0.154/2/0|10.144.0.154/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.0.38.75/3/0|10.0.38.75/3/0|10.0.38.75/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.80.72.65/2/0|12.80.72.65/2/0|12.80.72.65/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.242/5/1|143.0.68.242/5/1|143.0.68.242/5/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
12.82.0.53/5/3|12.82.0.53/5/3|12.82.0.53/5/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.248/1/2|143.0.68.248/1/2|143.0.68.248/1/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.240/5/0|143.0.68.240/5/0|143.0.68.240/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.82.0.62/1/2|12.82.0.62/1/2|12.82.0.62/1/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.196/4/0|149.0.3.196/4/0|149.0.3.196/4/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
10.144.0.155/3/1|10.144.0.155/3/1|10.144.0.155/3/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.80.72.33/0/0|12.80.72.33/0/0|12.80.72.33/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.29/1/0|12.123.80.29/1/0|12.123.80.29/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.222/5/2|149.0.3.222/5/2|149.0.3.222/5/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.196/0/1|149.0.3.196/0/1|149.0.3.196/0/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
148.0.131.182/2/0|148.0.131.182/2/0|148.0.131.182/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.110/0/1|143.0.68.110/0/1|143.0.68.110/0/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
150.0.0.89/1/3|150.0.0.89/1/3|150.0.0.89/1/3|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.248/1/1|143.0.68.248/1/1|143.0.68.248/1/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.35/1/2|143.0.68.35/1/2|143.0.68.35/1/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.168/1/1|143.0.68.168/1/1|143.0.68.168/1/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.82.0.62/2/3|12.82.0.62/2/3|12.82.0.62/2/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.143/4/0|12.123.80.143/4/0|12.123.80.143/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.194/3/0|149.0.3.194/3/0|149.0.3.194/3/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.34/1/0|143.0.68.34/1/0|143.0.68.34/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.65/0/0|10.144.0.65/0/0|10.144.0.65/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|MPC-16X10GE
143.0.24.132/3/0|143.0.24.132/3/0|143.0.24.132/3/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.240/4/0|143.0.68.240/4/0|143.0.68.240/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|MIC3-3D-10XGE-SFPP
149.0.3.194/0/3|149.0.3.194/0/3|149.0.3.194/0/3|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
143.0.68.168/7/0|143.0.68.168/7/0|143.0.68.168/7/0|ETHERNET-NFO|IPAG|IPAG|true|B|MPC-16X10GE
150.0.0.89/1/2|150.0.0.89/1/2|150.0.0.89/1/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.155/1/3|10.144.0.155/1/3|10.144.0.155/1/3|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
150.0.0.233/0/0|150.0.0.233/0/0|150.0.0.233/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.154/0/1|10.144.0.154/0/1|10.144.0.154/0/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
150.0.0.46/2/0|150.0.0.46/2/0|150.0.0.46/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.65/11/0|10.144.0.65/11/0|10.144.0.65/11/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
149.0.3.223/4/1|149.0.3.223/4/1|149.0.3.223/4/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.27/2/1|12.123.80.27/2/1|12.123.80.27/2/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.175/0/2|143.0.68.175/0/2|143.0.68.175/0/2|ETHERNET-NFO|IPAG|IPAG|true|B|MPC-16X10GE
150.0.0.23/5/0|150.0.0.23/5/0|150.0.0.23/5/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
149.0.3.194/1/0|149.0.3.194/1/0|149.0.3.194/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
149.0.3.216/4/0|149.0.3.216/4/0|149.0.3.216/4/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
143.0.24.144/2/0|143.0.24.144/2/0|143.0.24.144/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
143.0.68.172/4/2|143.0.68.172/4/2|143.0.68.172/4/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.80.72.121/4/0|12.80.72.121/4/0|12.80.72.121/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
150.0.0.212/5/0|150.0.0.212/5/0|150.0.0.212/5/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
143.0.68.173/1/0|143.0.68.173/1/0|143.0.68.173/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
150.0.0.168/5/2|150.0.0.168/5/2|150.0.0.168/5/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.170/0/3|143.0.68.170/0/3|143.0.68.170/0/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.27/1/3|12.123.80.27/1/3|12.123.80.27/1/3|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
150.0.0.215/1/1|150.0.0.215/1/1|150.0.0.215/1/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
150.0.0.12/1/0|150.0.0.12/1/0|150.0.0.12/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.80.4.13/1/0|12.80.4.13/1/0|12.80.4.13/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.170/1/0|143.0.68.170/1/0|143.0.68.170/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.147/3/0|10.144.0.147/3/0|10.144.0.147/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.248/4/0|143.0.68.248/4/0|143.0.68.248/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.212/2/0|12.123.80.212/2/0|12.123.80.212/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.0.3.223/5/0|149.0.3.223/5/0|149.0.3.223/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.169/2/3|143.0.68.169/2/3|143.0.68.169/2/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.82.100.7/5/0|12.82.100.7/5/0|12.82.100.7/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.24.132/1/3|143.0.24.132/1/3|143.0.24.132/1/3|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.65/3/3|10.144.0.65/3/3|10.144.0.65/3/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-4XGE
143.0.68.184/0/3|143.0.68.184/0/3|143.0.68.184/0/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.147/0/0|10.144.0.147/0/0|10.144.0.147/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
149.0.3.198/1/0|149.0.3.198/1/0|149.0.3.198/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.229/1/0|143.0.68.229/1/0|143.0.68.229/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
8.8.1.5/1/0|8.8.1.5/1/0|8.8.1.5/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
8.8.0.148/0/0|8.8.0.148/0/0|8.8.0.148/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.80.84.11/2/0|12.80.84.11/2/0|12.80.84.11/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.9.0.29/3/0|149.9.0.29/3/0|149.9.0.29/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
8.8.0.172/4/0|8.8.0.172/4/0|8.8.0.172/4/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
12.123.80.27/3/0|12.123.80.27/3/0|12.123.80.27/3/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.155/5/3|10.144.0.155/5/3|10.144.0.155/5/3|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
10.144.0.137/0/0|10.144.0.137/0/0|10.144.0.137/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
12.123.80.212/1/0|12.123.80.212/1/0|12.123.80.212/1/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
149.0.3.196/5/0|149.0.3.196/5/0|149.0.3.196/5/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-40GE
143.0.68.110/3/1|143.0.68.110/3/1|143.0.68.110/3/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.72/4/0|143.0.68.72/4/0|143.0.68.72/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.241/3/0|143.0.68.241/3/0|143.0.68.241/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|MIC3-3D-10XGE-SFPP
12.123.80.197/2/0|12.123.80.197/2/0|12.123.80.197/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.82.0.62/1/1|12.82.0.62/1/1|12.82.0.62/1/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.99/4/0|143.0.68.99/4/0|143.0.68.99/4/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.214/3/1|12.123.80.214/3/1|12.123.80.214/3/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.24.130/1/2|143.0.24.130/1/2|143.0.24.130/1/2|ETHERNET-NFO|IPAG|IPAG|true|B|MPC-16X10GE
10.144.0.137/5/2|10.144.0.137/5/2|10.144.0.137/5/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
143.0.68.248/0/2|143.0.68.248/0/2|143.0.68.248/0/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
150.0.0.46/5/0|150.0.0.46/5/0|150.0.0.46/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
10.144.0.147/1/3|10.144.0.147/1/3|10.144.0.147/1/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.80.72.121/4/3|12.80.72.121/4/3|12.80.72.121/4/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.80.72.16/2/0|12.80.72.16/2/0|12.80.72.16/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.197/1/1|12.123.80.197/1/1|12.123.80.197/1/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.0.3.222/1/3|149.0.3.222/1/3|149.0.3.222/1/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
12.80.72.121/5/0|12.80.72.121/5/0|12.80.72.121/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.24.196/5/0|143.0.24.196/5/0|143.0.24.196/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
12.123.80.15/5/0|12.123.80.15/5/0|12.123.80.15/5/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
149.0.3.222/1/2|149.0.3.222/1/2|149.0.3.222/1/2|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
12.80.84.11/1/0|12.80.84.11/1/0|12.80.84.11/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
143.0.68.247/1/3|143.0.68.247/1/3|143.0.68.247/1/3|ETHERNET-NFO|IPAG|IPAG|true|B|MIC-3D-20GE-SFP
148.0.131.229/5/0|148.0.131.229/5/0|148.0.131.229/5/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.175/0/0|143.0.68.175/0/0|143.0.68.175/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|MPC-16X10GE
143.0.68.240/2/0|143.0.68.240/2/0|143.0.68.240/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.184/2/0|143.0.68.184/2/0|143.0.68.184/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.170/0/0|143.0.68.170/0/0|143.0.68.170/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.147/1/0|10.144.0.147/1/0|10.144.0.147/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.247/4/2|143.0.68.247/4/2|143.0.68.247/4/2|ETHERNET-NFO|IPAG|IPAG|true|B|MIC-3D-20GE-SFP
12.80.68.135/3/0|12.80.68.135/3/0|12.80.68.135/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.82.0.53/1/0|12.82.0.53/1/0|12.82.0.53/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.24.237/0/0|143.0.24.237/0/0|143.0.24.237/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.170/2/0|143.0.68.170/2/0|143.0.68.170/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|MIC-3D-20GE-SFP
143.0.68.240/0/1|143.0.68.240/0/1|143.0.68.240/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
8.8.0.205/2/0|8.8.0.205/2/0|8.8.0.205/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.242/4/1|143.0.68.242/4/1|143.0.68.242/4/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.242/1/0|143.0.68.242/1/0|143.0.68.242/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|MIC3-3D-1X100GE-CFP
143.0.68.247/2/0|143.0.68.247/2/0|143.0.68.247/2/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.35/1/1|143.0.68.35/1/1|143.0.68.35/1/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
12.123.80.214/3/0|12.123.80.214/3/0|12.123.80.214/3/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
8.8.0.154/1/2|8.8.0.154/1/2|8.8.0.154/1/2|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
149.0.3.194/4/1|149.0.3.194/4/1|149.0.3.194/4/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPCE-X-Q-4XGE
149.0.3.195/0/1|149.0.3.195/0/1|149.0.3.195/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
143.0.24.198/2/1|143.0.24.198/2/1|143.0.24.198/2/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
12.80.72.16/0/0|12.80.72.16/0/0|12.80.72.16/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.15/2/1|12.123.80.15/2/1|12.123.80.15/2/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
8.8.1.5/0/0|8.8.1.5/0/0|8.8.1.5/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.24.132/3/1|143.0.24.132/3/1|143.0.24.132/3/1|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.68.168/4/1|143.0.68.168/4/1|143.0.68.168/4/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-4XGE
10.144.0.137/2/3|10.144.0.137/2/3|10.144.0.137/2/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.240/4/2|143.0.68.240/4/2|143.0.68.240/4/2|ETHERNET-NFO|IPAG|IPAG|true|B|MIC-3D-20GE-SFP
149.0.3.222/5/1|149.0.3.222/5/1|149.0.3.222/5/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
10.144.0.154/1/3|10.144.0.154/1/3|10.144.0.154/1/3|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
143.0.24.144/0/0|143.0.24.144/0/0|143.0.24.144/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
143.0.68.242/3/1|143.0.68.242/3/1|143.0.68.242/3/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
12.123.80.15/0/0|12.123.80.15/0/0|12.123.80.15/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.9.0.6/1/0|149.9.0.6/1/0|149.9.0.6/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-4XGE
8.8.0.154/0/3|8.8.0.154/0/3|8.8.0.154/0/3|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.154/4/0|10.144.0.154/4/0|10.144.0.154/4/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-4XGE
10.144.0.155/3/0|10.144.0.155/3/0|10.144.0.155/3/0|ETHERNET-NFO|IPAG|IPAG|true|S|DPC-X-40GE
10.144.0.147/5/3|10.144.0.147/5/3|10.144.0.147/5/3|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-40GE
12.80.72.19/1/0|12.80.72.19/1/0|12.80.72.19/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
149.9.0.6/1/1|149.9.0.6/1/1|149.9.0.6/1/1|ETHERNET-NFO|IPAG|IPAG|true|B|DPCE-X-Q-4XGE
8.8.0.176/3/0|8.8.0.176/3/0|8.8.0.176/3/0|ETHERNET-NFO|IPAG|IPAG|true|B|DPC-X-40GE
