@ref(networkElement)|@const(IpagLPort)class
@index(PE_LPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|access_flag|bmp_clci|card_type|clci|clfi|cust_circuit_id|cvlanid|cvlan_id_bot|cvlan_id_top|device_name|ds1_ckt_id|evc_name|grc|icore_evcname|ineffect|interface_ip_addr|interface_number|interface_string|log_port_name|log_port_number|mcn|mlppp_grp_number|nvlan_id_top|peip_addr|pvc_id|remote_cvlanid_bot|remote_cvlanid_top|remote_cvlanid|remote_ipaddr|remote_port_aid|remote_log_port_name|remote_nvlan_id_top|remote_svlanid|remote_vlanid|scp_service|service_name|service_options|soc|sub_interface|subscriber_name|svlanid|vlanid|uni_nni|vrf_name|vpn_name
149.0.3.198/0/0/3/53|149.0.3.198/0/0/3/53|149.0.3.198/0/0/3/53|ETHERNET-NFO|IPAG|IPAG|true|S||||||||||CRCYNVMAD02|||||N||||1/E-Links/CRCYNVMAD02/DYBHFLMAL08_Port_A|53|||||||||||||||||||||||||
143.0.68.247/4/2/4/6018|143.0.68.247/4/2/4/6018|143.0.68.247/4/2/4/6018|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||GSVLFLANCT5||99/ABCD/352615/MN|||N||||95/KRFN/919370/SB_291857_Port_A|6018|||||||||||||||||||6018|||||VPWS:29220|
12.80.72.65/0/0/1/3|12.80.72.65/0/0/1/3|12.80.72.65/0/0/1/3|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||RLGHNCMAKQ1|||||N||||1/E-Links/RLGHNCMAAV1/RLGHNCMAKQ1_Port_Z|3|||||||||||||||||||||||||
10.144.0.137/1/0/6/670|10.144.0.137/1/0/6/670|10.144.0.137/1/0/6/670|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFLMA51W|||||N||||G101k/GE1N/ORLDFLMA51W/ORLDFL32WCN_NMV4092_Port_A|670|||||||||||||||||||||||||
150.0.0.215/1/0/1/16|150.0.0.215/1/0/1/16|150.0.0.215/1/0/1/16|ETHERNET-NFO|IPAG|IPAG|true|S|||||P105J/GE1N/CRCYNVMAA01/CRCYNVMAA03|||||CRCYNVMAA03|||||N||||P105J/GE1N/CRCYNVMAA01/CRCYNVMAA03_Port_Z|16|||||||||||P105J/GE1N/CRCYNVMAA01/CRCYNVMAA03_Port_A||||||||||||||
12.80.72.33/0/3/9/23|12.80.72.33/0/3/9/23|12.80.72.33/0/3/9/23|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||RLGHNCMA121|||||N||||1/E-Links/RLGHNCMA121/RLGHNCMA621_Port_A|23|||||||||||||||||||||||||
143.0.68.35/1/1/0/31|143.0.68.35/1/1/0/31|143.0.68.35/1/1/0/31|ETHERNET-NFO|IPAG|IPAG|true|S|||||W103E/GE1N/CRCYNVMAH01/CRCYNVMAH02|||||CRCYNVMAH02|||||N||||W103E/GE1N/CRCYNVMAH01/CRCYNVMAH02_Port_Z|31|||||||||||W103E/GE1N/CRCYNVMAH01/CRCYNVMAH02_Port_A||||||||||||||
10.144.0.137/1/3/3/6014|10.144.0.137/1/3/3/6014|10.144.0.137/1/3/3/6014|NFO-MOBILITY|NTE|IPAG|true|B||||||||||ORLDFLMA51W||31/KQGN/120639/SB|||Y||||Port_7611440|6014|||||||||||||||||||6014|||||L2CKT:32591|
12.82.0.62/1/3/3/181|12.82.0.62/1/3/3/181|12.82.0.62/1/3/3/181|ETHERNET-NFO|IPAG|IPAG|true|B|||||U115U/GE1N/ORLDFL24FIP/ORLDFL24Q10|||||ORLDFL24Q10|||||N||||U115U/GE1N/ORLDFL24FIP/ORLDFL24Q10_Port_Z|181|||||||||||U115U/GE1N/ORLDFL24FIP/ORLDFL24Q10_Port_A||||||||||||||
143.0.68.184/0/0/0/6002|143.0.68.184/0/0/0/6002|143.0.68.184/0/0/0/6002|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMCV22||55/JHUH/872234/NH|||Y||||44/HYRT/652234/NH_285242_Port_A|6002|||||||||||||||||||6002|||||L2CKT:28611|
149.9.0.29/0/0/4/6013|149.9.0.29/0/0/4/6013|149.9.0.29/0/0/4/6013|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMAH72||03/KQGN/098151/SB|||Y||||Port_5608001|6013|||||||||||||||||||6013||||||
10.144.0.137/5/0/2/6006|10.144.0.137/5/0/2/6006|10.144.0.137/5/0/2/6006|NFO-MOBILITY|NTE|IPAG|true|B||||||||||ORLDFLMA51W||85/CUXM/102041/SB|||Y||||85/KRFN/202412/SB_275553_Port_A|6006|||||||||||||||||||6006|||||VPLS:26734|
8.8.0.172/5/0/0/16|8.8.0.172/5/0/0/16|8.8.0.172/5/0/0/16|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVAA61W||vikas_SIT1|||Y||||66/ASHU/123456/UI_160790_Port_A|16|||||||||||||||||||16|||||VPLS:62794|
143.0.68.72/0/0/0/5|143.0.68.72/0/0/0/5|143.0.68.72/0/0/0/5|ETHERNET-NFO|IPAG|IPAG|true|B|||||JP101/GE10/JCVLFLSEN07/JCVLFLSE0AW|||||JCVLFLSEN07|||||N||||JP101/GE10/JCVLFLSEN07/JCVLFLSE0AW_Port_A|5|||||||||||JP101/GE10/JCVLFLSEN07/JCVLFLSE0AW_Port_Z||||||||||||||
12.123.80.212/0/0/1/2|12.123.80.212/0/0/1/2|12.123.80.212/0/0/1/2|ETHERNET-NFO|IPAG|IPAG|true|S||||||||||SNJSCAHUDK1|||||N||||1/E-Links/SNJSCAHUDK1/SNJSCAHUDK3_Port_A|2|||||||||||||||||||||||||
143.0.68.184/0/0/1/68|143.0.68.184/0/0/1/68|143.0.68.184/0/0/1/68|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMCV22|||||N||||100/E-Links/DYBHFLMBR01/DYBHFLMCV22_Port_Z|68|||||||||||||||||||||||||
143.0.68.172/4/0/5/153|143.0.68.172/4/0/5/153|143.0.68.172/4/0/5/153|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMCV01|||||N||||1/Z-Links/DYBHFLMCRG9/DYBHFLMCV01_NMV4091_Aend|153|||||||||||||||||||||||||
12.82.0.62/1/0/8/75|12.82.0.62/1/0/8/75|12.82.0.62/1/0/8/75|ETHERNET-NFO|IPAG|IPAG|true|B|||||I101H/GE1N/ORLDFL24Q10/ORLDFL24X52|||||ORLDFL24Q10|||||N||||I101H/GE1N/ORLDFL24Q10/ORLDFL24X52_Port_A|75|||||||||||||||||||||||||
149.9.0.6/0/3/0/6001|149.9.0.6/0/3/0/6001|149.9.0.6/0/3/0/6001|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMAWA5||62/KSGN/902204/SB|||Y||||82/KSGN/900004/SB_266662_Port_A|6001|||||||||||||||||||6001|||||VPLS:26076|
148.0.131.182/4/1/6/6030|148.0.131.182/4/1/6/6030|148.0.131.182/4/1/6/6030|NFO-MOBILITY|NTE|IPAG|true|S||||||||||RENONVYAY3Q||38/EVCS/880056/FF|||Y||||Port_4817883|6030|||||||||||||||||||6030|||||VPWS:23752|
150.0.0.212/0/1/1/45|150.0.0.212/0/1/1/45|150.0.0.212/0/1/1/45|ETHERNET-NFO|IPAG|IPAG|true|S|||||P108B/GE1N/CRCYNVMAA01/CRCYNVMAA07|||||CRCYNVMAA01|||||N||||P108B/GE1N/CRCYNVMAA01/CRCYNVMAA07_Port_A|45|||||||||||P108B/GE1N/CRCYNVMAA01/CRCYNVMAA07_Port_Z||||||||||||||
149.0.3.223/5/0/6/25|149.0.3.223/5/0/6/25|149.0.3.223/5/0/6/25|ETHERNET-NFO|IPAG|IPAG|true|B|||||104/GE1N/DYBHFLMAL08/DYBHFLMAL10|||||DYBHFLMAL10|||||N||||104/GE1N/DYBHFLMAL08/DYBHFLMAL10_Port_Z|25|||||||||||104/GE1N/DYBHFLMAL08/DYBHFLMAL10_Port_A||||||||||||||
143.0.68.172/0/0/9/45|143.0.68.172/0/0/9/45|143.0.68.172/0/0/9/45|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMCV01|||||N||||M102N/GE1N/DYBHFLMCV01/DYBHFLMCV11_NMV127_Port_A|45|||||||||||||||||||||||||
148.0.131.182/4/1/6/6018|148.0.131.182/4/1/6/6018|148.0.131.182/4/1/6/6018|NFO-MOBILITY|NTE|IPAG|true|S||||||||||RENONVYAY3Q||34/EVCS/239998/SR|||Y||||Port_4796015|6018|||||||||||||||||||6018|||||VPLS:23705|
12.82.0.53/5/1/7/139|12.82.0.53/5/1/7/139|12.82.0.53/5/1/7/139|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFL24FIP|||||N||||110/E-Links/ORLDFL24FIP/ORLDFL24Q10_Port_A|139|||||||||||||||||||||||||
143.0.68.248/0/1/2/256|143.0.68.248/0/1/2/256|143.0.68.248/0/1/2/256|ETHERNET-NFO|IPAG|IPAG|true|B|||||JU101/GE1N/DYBHFLMA308/DYBHFLMC571|||||DYBHFLMA308|||||N||||JU101/GE1N/DYBHFLMA308/DYBHFLMC571_Port_A|256|||||||||||||||||||||||||
150.0.0.168/5/1/6/6050|150.0.0.168/5/1/6/6050|150.0.0.168/5/1/6/6050|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAI41||01/JAIN/022212/AJ|||Y||||45/NHBH/415258/KJ_276296_Port_A|6050|||||||||||||||||||6050|||||VPLS:26784|
8.8.0.172/5/0/3/1|8.8.0.172/5/0/3/1|8.8.0.172/5/0/3/1|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVAA61W||24/EVCG/256412/GC|||Y||||12/GIOM/234598/GC_160397_Port_A|1|||||||||||||||||||1|||||L2CKT:62681|
149.0.3.202/0/0/0/6004|149.0.3.202/0/0/0/6004|149.0.3.202/0/0/0/6004|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMAL03||01/AUTO/111116/RS|||Y||||99/KRFN/777111/SB_283453_Port_A|6004|||||||||||||||||||6004|||||VPLS:28009|
12.123.80.27/2/0/3/6002|12.123.80.27/2/0/3/6002|12.123.80.27/2/0/3/6002|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVAA3IP||Dan_san|||Y||||34/ASDE/675432/ER_166146_Port_A|6002|||||||||||||||||||6002|||||VPLS:20670|
8.8.0.154/3/1/0/17|8.8.0.154/3/1/0/17|8.8.0.154/3/1/0/17|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVAA56W||77/KQGN/438771/NV|||Y||||33/KQGN/739200/NV_161690_Port_A|17|||||||||||||||||||17|||||L2CKT:63389|
143.0.68.184/0/0/0/6005|143.0.68.184/0/0/0/6005|143.0.68.184/0/0/0/6005|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMCV22||00/HYRT/650004/NH|||Y||||44/HYRT/652234/NH_285553_Port_A|6005|||||||||||||||||||6005|||||VPLS:28628|
12.82.0.62/2/0/4/35|12.82.0.62/2/0/4/35|12.82.0.62/2/0/4/35|ETHERNET-NFO|IPAG|IPAG|true|B|||||A102B/GE1N/ORLDFL24A84/ORLDFL24Q10|||||ORLDFL24Q10|||||N||||A102B/GE1N/ORLDFL24A84/ORLDFL24Q10_Port_A|35|||||||||||||||||||||||||
10.144.0.154/1/2/4/6011|10.144.0.154/1/2/4/6011|10.144.0.154/1/2/4/6011|NFO-MOBILITY|NTE|IPAG|true|S||||||||||SNJSCA02W31||85/VLXP/306078/PT|||Y||||85/KRFN/306711/PT_408971_Port_A|6011|||||||||||||||||||6011|||||VPWS:32080|
12.82.100.7/5/0/9/13|12.82.100.7/5/0/9/13|12.82.100.7/5/0/9/13|ETHERNET-NFO|IPAG|IPAG|true|B|||||K101L/GE1N/AAAAIPAGNHH/RLGHNCMOPS1|||||RLGHNCMOPS1|||||N||||K101L/GE1N/AAAAIPAGNHH/RLGHNCMOPS1_Port_A|13|||||||||||||||||||||||||
143.0.68.248/1/1/4/80|143.0.68.248/1/1/4/80|143.0.68.248/1/1/4/80|ETHERNET-NFO|IPAG|IPAG|true|B|||||JU102/GE1N/DYBHFLMA308/DYBHFLMA669|||||DYBHFLMA308|||||N||||JU102/GE1N/DYBHFLMA308/DYBHFLMA669_Port_A|80|||||||||||||||||||||||||
12.80.72.121/4/0/1/22|12.80.72.121/4/0/1/22|12.80.72.121/4/0/1/22|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFL2589P|||||N||||F101B/GE1N/ORLDFL25GB2/ORLDFL2589P_NMV127_Port_A|22|||||||||||||||||||||||||
12.82.0.62/1/2/0/177|12.82.0.62/1/2/0/177|12.82.0.62/1/2/0/177|ETHERNET-NFO|IPAG|IPAG|true|B|||||S113G/GE1N/ORLDFL24FIP/ORLDFL24Q10|||||ORLDFL24Q10|||||N||||S113G/GE1N/ORLDFL24FIP/ORLDFL24Q10_Port_Z|177|||||||||||S113G/GE1N/ORLDFL24FIP/ORLDFL24Q10_Port_A||||||||||||||
143.0.68.169/1/0/5/65|143.0.68.169/1/0/5/65|143.0.68.169/1/0/5/65|ETHERNET-NFO|IPAG|IPAG|true|B|||||A101D/GE1N/DYBHFLMBB41/DYBHFLMBR01|||||DYBHFLMBR01|||||N||||A101D/GE1N/DYBHFLMBB41/DYBHFLMBR01_Port_Z|65|||||||||||A101D/GE1N/DYBHFLMBB41/DYBHFLMBR01_Port_A||||||||||||||
12.123.80.214/0/0/2/2|12.123.80.214/0/0/2/2|12.123.80.214/0/0/2/2|ETHERNET-NFO|IPAG|IPAG|true|S||||||||||SNJSCAHUDK3|||||N||||1/E-Links/SNJSCAHUDK1/SNJSCAHUDK3_Port_Z|2|||||||||||||||||||||||||
143.0.68.172/4/0/6/159|143.0.68.172/4/0/6/159|143.0.68.172/4/0/6/159|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMCV01|||||N||||JU101/GE1N/DYBHFLMCK1B/DYBHFLMCV01_NMV4092_Port_A|159|||||||||||||||||||||||||
149.9.0.29/0/0/4/6008|149.9.0.29/0/0/4/6008|149.9.0.29/0/0/4/6008|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMAH72||56/KSON/999904/SB|||Y||||Port_5583395|6008|||||||||||||||||||6008||||||
143.0.68.212/0/0/5/6000|143.0.68.212/0/0/5/6000|143.0.68.212/0/0/5/6000|NFO-MOBILITY|NTE|IPAG|true|B||||||||||GSVLFLST5MD||99/ABCD/367181/MN|||Y||||54/KRGN/700011/SB_289118_Port_A|6000|||||||||||||||||||6000|||||VPLS:28934|
149.0.3.194/4/0/0/66|149.0.3.194/4/0/0/66|149.0.3.194/4/0/0/66|ETHERNET-NFO|IPAG|IPAG|true|S||||||||||CRCYNVMAD06|||||N||||JU102/GE10/CRCYNVAA3EA/CRCYNVMAD06_NMV4091_Port_A|66|||||||||||||||||||||||||
10.144.0.154/1/0/3/719|10.144.0.154/1/0/3/719|10.144.0.154/1/0/3/719|ETHERNET-NFO|IPAG|IPAG|true|S|||||109/GE1N/SNJSCAJN0IW/SNJSCA02W31|||||SNJSCA02W31|||||N||||109/GE1N/SNJSCAJN0IW/SNJSCA02W31_Port_A|719|||||||||||||||||||||||||
10.144.0.137/1/3/5/6007|10.144.0.137/1/3/5/6007|10.144.0.137/1/3/5/6007|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFLMA51W||10/CUXM/110271/SB|||Y||||10/KQGN/100621/SB_168557_Port_A|6007|||||||||||||||||||6007|||||VPLS:21227|
143.0.68.247/0/0/4/6000|143.0.68.247/0/0/4/6000|143.0.68.247/0/0/4/6000|NFO-MOBILITY|NTE|IPAG|true|B||||||||||GSVLFLANCT5||91/KRFN/345098/SB|||Y||||22/KRFN/333032/SB_289098_Port_A|6000|||||||||||||||||||6000|||||L2CKT:28933|
149.9.0.27/2/0/0/6022|149.9.0.27/2/0/0/6022|149.9.0.27/2/0/0/6022|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMAW27||10/BULK/010612/PP|||Y||||01/UNIX/010312/SP_263878_Port_A|6022|||||||||||||||||||6022|||||L2CKT:25861|
12.123.80.197/1/0/0/4|12.123.80.197/1/0/0/4|12.123.80.197/1/0/0/4|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFL32ZSA|||||N||||1/E-Links/ORLDFL32B61/ORLDFL32ZSA_Port_Z|4|||||||||||||||||||||||||
149.0.3.198/2/0/2/6001|149.0.3.198/2/0/2/6001|149.0.3.198/2/0/2/6001|ETHERNET-NFO|IPAG|IPAG|true|S||||||||||CRCYNVMAD02||99/ABCD/929291/MN|||Y||||99/KQGN/933428/NV_279167_Port_A|6001|||||||||||||||||||6001|||||VPWS:27516|
12.82.0.62/1/0/7/80|12.82.0.62/1/0/7/80|12.82.0.62/1/0/7/80|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFL24Q10|||||N||||SVLAN_4_125364_Port_A|80|||||||||||||||||||||||||
143.0.68.242/3/2/5/6000|143.0.68.242/3/2/5/6000|143.0.68.242/3/2/5/6000|NFO-MOBILITY|NTE|IPAG|true|B||||||||||GSVLFLANH02||98/EVCP/050813/RB|||Y||||08/KRFN/058013/RB_409083_Port_A|6000|||||||||||||||||||6000|||||VPLS:32086|
12.82.0.53/4/0/4/25|12.82.0.53/4/0/4/25|12.82.0.53/4/0/4/25|ETHERNET-NFO|IPAG|IPAG|true|B|||||F105S/GE1N/ORLDFL24FIP/ORLDFL24IIP|||||ORLDFL24FIP|||||N||||F105S/GE1N/ORLDFL24FIP/ORLDFL24IIP_Port_A|25|||||||||||F105S/GE1N/ORLDFL24FIP/ORLDFL24IIP_Port_Z||||||||||||||
10.144.0.155/4/0/0/752|10.144.0.155/4/0/0/752|10.144.0.155/4/0/0/752|ETHERNET-NFO|IPAG|IPAG|true|S||||||||||SNTCCA0111W|||||N||||102/E-Links/SNTCCA0102W/SNTCCA0111W_Port_Z|752|||||||||||||||||||||||||
10.144.0.147/1/0/0/6007|10.144.0.147/1/0/0/6007|10.144.0.147/1/0/0/6007|NFO-MOBILITY|NTE|IPAG|true|B||||||||||ORLDFLPH51W||85/VXLP/205161/SB|||Y||||58/KQGN/105021/SB_282142_Port_A|6007|||||||||||||||||||6007|||||VPWS:27768|
12.82.0.62/2/3/8/200|12.82.0.62/2/3/8/200|12.82.0.62/2/3/8/200|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFL24Q10|||||N||||ORIFL307IA1_ORIFL301IA1_B_2_1_1_BYPASS_Port_A|200|||||||||||||||||||||||||
12.123.80.27/2/0/3/6022|12.123.80.27/2/0/3/6022|12.123.80.27/2/0/3/6022|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVAA3IP||01/KEVC/260511/SB|||Y||||34/ASDE/675432/ER_210646_Port_A|6022|||||||||||||||||||6022|||||VPLS:22830|
12.82.0.53/2/0/2/146|12.82.0.53/2/0/2/146|12.82.0.53/2/0/2/146|ETHERNET-NFO|IPAG|IPAG|true|B|||||I109T/GE1N/ORLDFL24FIP/ORLDFL24IIP|||||ORLDFL24FIP|||||N||||I109T/GE1N/ORLDFL24FIP/ORLDFL24IIP_Port_A|146|||||||||||I109T/GE1N/ORLDFL24FIP/ORLDFL24IIP_Port_Z||||||||||||||
150.0.0.168/5/1/6/6016|150.0.0.168/5/1/6/6016|150.0.0.168/5/1/6/6016|NFO-MOBILITY|NTE|IPAG|true|S||||||||||CRCYNVMAI41||15/EVCP/125689/PJ|||Y||||45/NHBH/415258/KJ_264451_Port_A|6016|||||||||||||||||||6016|||||VPWS:25899|
149.0.3.222/1/0/5/131|149.0.3.222/1/0/5/131|149.0.3.222/1/0/5/131|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMAL08|||||N||||1/E-Links/DYBHFLMAL04/DYBHFLMAL08_Port_Z|131|||||||||||||||||||||||||
143.0.68.168/2/0/2/40|143.0.68.168/2/0/2/40|143.0.68.168/2/0/2/40|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMB1MX|||||N||||CVLAN_305_287185_Port_A|40|||||||||||||||||||||||||
150.0.0.212/0/1/0/44|150.0.0.212/0/1/0/44|150.0.0.212/0/1/0/44|ETHERNET-NFO|IPAG|IPAG|true|S|||||P107B/GE1N/CRCYNVMAA01/CRCYNVMAA07|||||CRCYNVMAA01|||||N||||P107B/GE1N/CRCYNVMAA01/CRCYNVMAA07_Port_A|44|||||||||||P107B/GE1N/CRCYNVMAA01/CRCYNVMAA07_Port_Z||||||||||||||
143.0.68.168/1/1/1/6000|143.0.68.168/1/1/1/6000|143.0.68.168/1/1/1/6000|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMB1MX||01/KQGN/150513/UK|||Y||||01/KQGN/150513/JP_410339_Port_A|6000|||||||||||||||||||6000|||||VPLS:32266|
149.0.3.223/5/0/1/14|149.0.3.223/5/0/1/14|149.0.3.223/5/0/1/14|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMAL10|||||N||||1/E-Links/DYBHFLMAL08/DYBHFLMAL10_Port_Z|14|||||||||||||||||||||||||
143.0.68.173/0/0/3/5|143.0.68.173/0/0/3/5|143.0.68.173/0/0/3/5|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||DYBHFLMCV02|||||N||||JU101/GE1N/DYBHFLMCVJ1/DYBHFLMCV02_NMV4092_Port_A|5|||||||||||||||||||||||||
150.0.0.12/0/0/4/19|150.0.0.12/0/0/4/19|150.0.0.12/0/0/4/19|ETHERNET-NFO|IPAG|IPAG|true|B|||||B102T/GE1N/DYBHFLMAXWY/DYBHFLMAX5Y|||||DYBHFLMAX5Y|||||N||||B102T/GE1N/DYBHFLMAXWY/DYBHFLMAX5Y_Port_A|19|||||||||||B102T/GE1N/DYBHFLMAXWY/DYBHFLMAX5Y_Port_Z||||||||||||||
12.123.80.212/2/0/5/6002|12.123.80.212/2/0/5/6002|12.123.80.212/2/0/5/6002|NFO-MOBILITY|NTE|IPAG|true|S||||||||||SNJSCAHUDK1||34/EVCM/348934/RS|||Y||||01/KRFN/100200/SB_282799_Port_A|6002|||||||||||||||||||6002|||||VPLS:27875|
10.144.0.65/5/2/0/6001|10.144.0.65/5/2/0/6001|10.144.0.65/5/2/0/6001|NFO-MOBILITY|NTE|IPAG|true|B||||||||||ORLDFLMA61W||10/CUXM/110690/SB|||Y||||10/KSFN/110690/SB_216150_Port_A|6001|||||||||||||||OEW||||6001|||||VPLS:21509|
10.144.0.137/1/3/5/6064|10.144.0.137/1/3/5/6064|10.144.0.137/1/3/5/6064|ETHERNET-NFO|IPAG|IPAG|true|B||||||||||ORLDFLMA51W||10/CUXM/110607/SB|||Y||||85/KQGN/101005/SB_283544_Port_A|6064|||||||||||||||||||6064|||||VPLS:26766|
143.0.68.184/0/0/5/6025|143.0.68.184/0/0/5/6025|143.0.68.184/0/0/5/6025|NFO-MOBILITY|NTE|IPAG|true|B||||||||||DYBHFLMCV22||12/PEVC/562874/SK|||Y||||65/JUJU/817161/HH_292366_Port_A|6025|||||||||||||||||||6025|||||VPWS:29271|
