@ref(networkElement)|@const(IpagPPort)class
@index(PE_PPort)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|access_flag|acnaban|bmp_clci|clci|clfi|device_type|evc_name|ineffect|mcn|port_aid|port_ipaddr|port_lag_id|port_lag_ip|port_num|remote_device_name|remote_device_model|remote_device_type|remote_device_ipaddr|remote_deviceloopback10ip|remote_deviceloopbackip|remote_slot_number|remote_slot_name|remote_port_aid|remote_ptnii|subscriber_name|soc|vrf_name|vpn_name|uni_nni
12.82.0.62/2/0/5|12.82.0.62/2/0/5|12.82.0.62/2/0/5|ETHERNET-NFO|IPAG|IPAG|true|B|||||S103G/GE1N/ORLDFL24Q10/ORLDFL24Q4H|JUNIPER MX SERIES||||ge-2/0/5||ae27||0|||||||||||||||
12.82.0.62/2/1/2|12.82.0.62/2/1/2|12.82.0.62/2/1/2|NFO-MOBILITY|NTE|IPAG|true|B|||||G101D/GE1N/ORLDFL24Q10/ORLDFL24S02|JUNIPER MX SERIES||Y||ge-2/1/2||||0|ORLDFL24S02||CIENA NTE|10.204.200.118|||||25||||||
143.0.68.99/4/0/7|143.0.68.99/4/0/7|143.0.68.99/4/0/7|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/DYBHFLHC002/DYBHFLMA000|JUNIPER MX SERIES||Y||ge-4/0/7||||0|DYBHFLHC002||CIENA NTE|10.204.9.183|||||9||||||
12.123.80.29/2/0/0|12.123.80.29/2/0/0|12.123.80.29/2/0/0|NFO-MOBILITY|NTE|IPAG|true|B|||||P101S/GE1N/ORLDFL32PB1/ORLDFL32PB2|JUNIPER MX SERIES||N||ge-2/0/0||||0|ORLDFL32PB2||CIENA NTE|10.204.64.153|||||25||||||
8.8.0.154/0/1/3|8.8.0.154/0/1/3|8.8.0.154/0/1/3|NFO-MOBILITY|NTE|IPAG|true|S|||||K101M/GE1N/CRCYNVAAZE4/CRCYNVAA56W|JUNIPER MX SERIES||Y||ge-0/1/3||||1|CRCYNVAAZE4||CIENA NTE|10.204.90.205|||||25||||||
149.0.3.196/5/0/8|149.0.3.196/5/0/8|149.0.3.196/5/0/8|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVMAD01/CRCYNVMAZ81|JUNIPER MX SERIES||Y||ge-5/0/8||||0|CRCYNVMAZ81||CIENA NTE|10.204.85.54|||||9||||||
12.82.0.53/5/0/4|12.82.0.53/5/0/4|12.82.0.53/5/0/4|ETHERNET-NFO|IPAG|IPAG|true|B|||||A101S/GE1N/ORLDFL24FIP/ORLDFL24NT3|JUNIPER MX SERIES||||ge-5/0/4||||0|||||||||||||||
10.144.0.137/0/0/0|10.144.0.137/0/0/0|10.144.0.137/0/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|||||107/GE10/ORLDFLMA51W/ORLDFLMA61W|JUNIPER MX SERIES||||xe-0/0/0||ae31|10.1.188.157|0|ORLDFLMA61W||JUNIPER MX SERIES|192.168.112.101|10.144.10.65|10.144.0.65|12|3/0|xe-0/3/0||||||
143.0.68.168/1/0/3|143.0.68.168/1/0/3|143.0.68.168/1/0/3|NFO-MOBILITY|NTE|IPAG|true|B|||||JU102/GE1N/DYBHFLMBRZ1/DYBHFLMB1MX|JUNIPER MX SERIES||Y||ge-1/0/3||||0|DYBHFLMBRZ1||CIENA NTE|10.204.10.229|||||9||||||
10.144.0.147/4/3/8|10.144.0.147/4/3/8|10.144.0.147/4/3/8|NFO-MOBILITY|NTE|IPAG|true|B|||||JU102/GE1N/ORLDFLPH51W/ORLHFLSCH02|JUNIPER MX SERIES||Y||ge-4/3/8||||0|ORLHFLSCH02||CIENA NTE|10.204.32.86|||||10||||||
8.8.0.154/0/0/9|8.8.0.154/0/0/9|8.8.0.154/0/0/9|NFO-MOBILITY|NTE|IPAG|true|S|||||S101G/GE1N/CRCYNVAA56W/CRCYNVHVGH1|JUNIPER MX SERIES||N||ge-0/0/9||||0|CRCYNVHVGH1||CIENA NTE|10.204.90.195|||||27||||||
8.8.0.148/2/0/1|8.8.0.148/2/0/1|8.8.0.148/2/0/1|NFO-MOBILITY|NTE|IPAG|true|S|||||D101K/GE1N/CRCYNVAAP01/CRCYNVHVAKG|JUNIPER MX SERIES||N||ge-2/0/1||||0|CRCYNVHVAKG||CIENA NTE|10.204.90.126|||||25||||||
143.0.24.132/2/0/4|143.0.24.132/2/0/4|143.0.24.132/2/0/4|NFO-MOBILITY|NTE|IPAG|true|S|||||JU102/GE1N/SNJSCACO0AW/SNJSCA020FW|JUNIPER MX SERIES||Y||ge-2/0/4||||0|SNJSCACO0AW||CIENA NTE|10.204.135.203|||||9||||||
10.144.0.155/3/0/2|10.144.0.155/3/0/2|10.144.0.155/3/0/2|NFO-MOBILITY|NTE|IPAG|true|S|||||JU113/GE1N/SNJSCAIBH01/SNTCCA0111W|JUNIPER MX SERIES||Y||ge-3/0/2||||0|SNJSCAIBH01||CIENA NTE|10.204.1.85|||||25||||||
150.0.0.232/0/0/0|150.0.0.232/0/0/0|150.0.0.232/0/0/0|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVMAL01/CRCYNVMAL15|JUNIPER MX SERIES||Y||ge-0/0/0||||0|CRCYNVMAL15||CIENA NTE|10.204.83.167|||||9||||||
12.123.80.214/1/0/9|12.123.80.214/1/0/9|12.123.80.214/1/0/9|ETHERNET-NFO|IPAG|IPAG|true|S|||||R101T/GE1N/SNJSCAHUDK3/SNJSCAHU1N6|JUNIPER MX SERIES||||ge-1/0/9||ae0||0|SNJSCAHU1N6||CIENA EMUX|10.204.80.254|||||21||||||
150.0.0.168/5/0/3|150.0.0.168/5/0/3|150.0.0.168/5/0/3|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVMAI41/CRCYNVMAN12|JUNIPER MX SERIES||Y||ge-5/0/3||||0|CRCYNVMAN12||CIENA NTE|10.204.83.123|||||9||||||
143.0.68.172/4/0/5|143.0.68.172/4/0/5|143.0.68.172/4/0/5|ETHERNET-NFO|IPAG|IPAG|true|B|||||F101K/GE1N/DYBHFLMCRG9/DYBHFLMCV01|JUNIPER MX SERIES||||ge-4/0/5||ae2||0|||||||||||||||
143.0.68.184/0/1/3|143.0.68.184/0/1/3|143.0.68.184/0/1/3|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/DYBHFLMCV22/DYBHFLMC937|JUNIPER MX SERIES||Y||ge-0/1/3||||0|DYBHFLMC937||CIENA NTE|10.204.11.145|||||9||||||
10.144.0.137/1/2/1|10.144.0.137/1/2/1|10.144.0.137/1/2/1|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/ORLDFLMAKGT/ORLDFLMA51W|JUNIPER MX SERIES||Y||ge-1/2/1||||0|ORLDFLMAKGT||CIENA NTE|10.204.67.13|||||9||||||
12.123.80.29/2/0/3|12.123.80.29/2/0/3|12.123.80.29/2/0/3|ETHERNET-NFO|IPAG|IPAG|true|B|||||P102S/GE1N/ORLDFL32PB1/ORLDFL32PB3|JUNIPER MX SERIES||||ge-2/0/3||||0|ORLDFL32PB3||ADTRAN 5000 SERIES|10.204.64.154|||||2||||||
149.0.3.222/1/1/0|149.0.3.222/1/1/0|149.0.3.222/1/1/0|NFO-MOBILITY|NTE|IPAG|true|B|||||D104F/GE1N/DYBHFLMAL08/DYBHFLMAZE3|JUNIPER MX SERIES||Y||ge-1/1/0||||0|DYBHFLMAZE3||CIENA NTE|10.204.9.236|||||9||||||
143.0.68.248/1/1/2|143.0.68.248/1/1/2|143.0.68.248/1/1/2|NFO-MOBILITY|NTE|IPAG|true|B|||||D101F/GE1N/DYBHFLMA308/DYBHFLMA749|JUNIPER MX SERIES||N||ge-1/1/2||||0|DYBHFLMA749||CIENA NTE|10.204.11.183|||||9||||||
143.0.68.35/1/2/0|143.0.68.35/1/2/0|143.0.68.35/1/2/0|ETHERNET-NFO|IPAG|IPAG|true|S|||||W113E/GE1N/CRCYNVMAH01/CRCYNVMAH02|JUNIPER MX SERIES||||ge-1/2/0||ae22|149.0.30.237|1|CRCYNVMAH01||JUNIPER MX SERIES|10.204.242.45|12.122.129.222|149.9.0.28|17|1/7|ge-5/1/7||||||
10.144.0.137/3/1/7|10.144.0.137/3/1/7|10.144.0.137/3/1/7|NFO-MOBILITY|NTE|IPAG|true|B|||||D101F/GE1N/ORLDFLMA51W/ORLDFLMA9VR|JUNIPER MX SERIES||Y||ge-3/1/7||||0|ORLDFLMA9VR||CIENA NTE|10.204.67.74|||||9||||||
150.0.0.89/1/0/8|150.0.0.89/1/0/8|150.0.0.89/1/0/8|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/RENONVYABV6/RENONVYAPFR|JUNIPER MX SERIES||Y||ge-1/0/8||||0|RENONVYABV6||CIENA NTE|10.204.82.191|||||25||||||
148.0.131.182/4/0/3|148.0.131.182/4/0/3|148.0.131.182/4/0/3|NFO-MOBILITY|NTE|IPAG|true|S|||||101/GE1N/RENONVYABY1/RENONVYAY3Q|JUNIPER MX SERIES||N||ge-4/0/3||||1|RENONVYABY1||CIENA NTE|10.204.82.114|||||25||||||
143.0.68.241/4/0/0|143.0.68.241/4/0/0|143.0.68.241/4/0/0|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/GSVLFLANAC2/GSVLFLSTW01|JUNIPER MX SERIES||N||ge-4/0/0||||0|GSVLFLSTW01||CIENA NTE|10.204.132.157|||||9||||||
12.82.0.62/1/3/4|12.82.0.62/1/3/4|12.82.0.62/1/3/4|ETHERNET-NFO|IPAG|IPAG|true|B|||||A114A/GE1N/ORLDFL24FIP/ORLDFL24Q10|JUNIPER MX SERIES||||ge-1/3/4||||1|ORLDFL24FIP||JUNIPER MX SERIES|10.204.246.168|12.123.75.11|12.82.0.53|8|0/8|ge-2/0/8||||||
143.0.68.184/0/1/9|143.0.68.184/0/1/9|143.0.68.184/0/1/9|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/DYBHFLMA784/DYBHFLMCV22|JUNIPER MX SERIES||N||ge-0/1/9||||0|DYBHFLMA784||CIENA NTE|10.204.11.220|||||9||||||
143.0.68.242/3/0/3|143.0.68.242/3/0/3|143.0.68.242/3/0/3|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/GSVLFLANH02/GSVLFLANOFA|JUNIPER MX SERIES||Y||ge-3/0/3||||0|GSVLFLANOFA||CIENA NTE|10.204.132.175|||||9||||||
143.0.68.169/1/0/2|143.0.68.169/1/0/2|143.0.68.169/1/0/2|ETHERNET-NFO|IPAG|IPAG|true|B|||||102/GE1N/DYBHFLMBR01/DYBHFLMB2MX|JUNIPER MX SERIES||||ge-1/0/2||ae21|143.1.196.81|0|DYBHFLMB2MX||JUNIPER MX SERIES|10.204.243.42|12.122.131.33|143.0.68.170|2|0/2|ge-1/0/2||||||
150.0.0.217/0/0/6|150.0.0.217/0/0/6|150.0.0.217/0/0/6|NFO-MOBILITY|NTE|IPAG|true|S|||||H101J/GE1N/CRCYNVMAA04/CRCYNVMAA11|JUNIPER MX SERIES||N||ge-0/0/6||||0|CRCYNVMAA11||CIENA NTE|10.204.84.206|||||9||||||
150.0.0.217/0/0/4|150.0.0.217/0/0/4|150.0.0.217/0/0/4|NFO-MOBILITY|NTE|IPAG|true|S|||||M101N/GE1N/CRCYNVMAA04/CRCYNVMAA15|JUNIPER MX SERIES||N||ge-0/0/4||||0|CRCYNVMAA15||CIENA NTE|10.204.84.88|||||26||||||
12.82.0.62/2/1/6|12.82.0.62/2/1/6|12.82.0.62/2/1/6|ETHERNET-NFO|IPAG|IPAG|true|B|||||K106L/GE1N/ORLDFL24Q10/ORLDFL24X52|JUNIPER MX SERIES||||ge-2/1/6||ae9||0|||||||||||||||
10.144.0.155/3/0/6|10.144.0.155/3/0/6|10.144.0.155/3/0/6|NFO-MOBILITY|NTE|IPAG|true|S|||||JU115/GE1N/SNJSCAEPH06/SNTCCA0111W|JUNIPER MX SERIES||Y||ge-3/0/6||||0|SNJSCAEPH06||CIENA NTE|10.204.1.121|||||25||||||
143.0.68.172/3/0/0|143.0.68.172/3/0/0|143.0.68.172/3/0/0|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/DYBHFLMCNT2/DYBHFLMCV01|JUNIPER MX SERIES||Y||ge-3/0/0||||0|DYBHFLMCNT2||CIENA NTE|10.204.12.35|||||9||||||
143.0.68.184/0/1/5|143.0.68.184/0/1/5|143.0.68.184/0/1/5|ETHERNET-NFO|IPAG|IPAG|true|B|||||P107J/GE1N/DYBHFLMBR01/DYBHFLMCV22|JUNIPER MX SERIES||||ge-0/1/5||ae32|143.1.198.45|1|DYBHFLMBR01||JUNIPER MX SERIES|10.204.243.41|12.122.131.32|143.0.68.169|5|0/5|ge-2/0/5||||||
10.144.0.137/0/1/0|10.144.0.137/0/1/0|10.144.0.137/0/1/0|ETHERNET-NFO|IPAG|IPAG|true|B|||||J102/GE10/ORLDFLMA51W/ORLDFLSA21W|JUNIPER MX SERIES||||xe-0/1/0||ae24|149.0.30.61|0|ORLDFLSA21W||JUNIPER MX SERIES|192.168.112.24||10.144.0.136|1|1/0|xe-4/1/0||||||
8.8.0.172/5/0/1|8.8.0.172/5/0/1|8.8.0.172/5/0/1|NFO-MOBILITY|NTE|IPAG|true|S|||||A101Z/GE1N/CRCYNVAANG2/CRCYNVAA61W|JUNIPER MX SERIES||N||ge-5/0/1||||1|CRCYNVAANG2||CIENA NTE|10.204.90.161|||||25||||||
143.0.68.248/0/0/5|143.0.68.248/0/0/5|143.0.68.248/0/0/5|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/DYBHFLMA235/DYBHFLMA308|JUNIPER MX SERIES||Y||ge-0/0/5||||0|DYBHFLMA235||CIENA NTE|10.204.10.184|||||9||||||
150.0.0.147/1/0/0|150.0.0.147/1/0/0|150.0.0.147/1/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|||||101/GE10/CRCYNVMAI17/CRCYNVMAX26|JUNIPER MX SERIES||||xe-1/0/0||ae20|149.0.19.225|0|CRCYNVMAX26||JUNIPER MX SERIES|10.204.241.111|12.122.129.146|150.0.0.166|0|0/0|xe-2/0/0||||||
12.80.72.65/2/0/3|12.80.72.65/2/0/3|12.80.72.65/2/0/3|NFO-MOBILITY|NTE|IPAG|true|B|||||L101G/GE1N/RLGHNCMAKQ1/RLGHNCMAPL2|JUNIPER MX SERIES||N||ge-2/0/3||||0|RLGHNCMAPL2||CIENA NTE|10.204.200.242|||||25||||||
143.0.68.242/3/2/9|143.0.68.242/3/2/9|143.0.68.242/3/2/9|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/GSVLFLANH02/GSVLFLAN93P|JUNIPER MX SERIES||N||ge-3/2/9||||0|GSVLFLAN93P||CIENA NTE|10.204.144.121|||||9||||||
149.0.3.194/0/0/0|149.0.3.194/0/0/0|149.0.3.194/0/0/0|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE10/CRCYNVMAD06/CRCYNVMAD23|JUNIPER MX SERIES||Y||xe-0/0/0||||0|CRCYNVMAD23||CIENA NTE|10.204.84.237|||||11||||||
12.80.72.121/4/0/1|12.80.72.121/4/0/1|12.80.72.121/4/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|||||F101B/GE1N/ORLDFL25GB2/ORLDFL2589P|JUNIPER MX SERIES||||ge-4/0/1||||1|||||||||||||||
143.0.68.170/0/0/2|143.0.68.170/0/0/2|143.0.68.170/0/0/2|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/DYBHFLMB131/DYBHFLMB2MX|JUNIPER MX SERIES||Y||ge-0/0/2||||0|DYBHFLMB131||CIENA NTE|10.204.10.52|||||9||||||
143.0.68.169/4/0/0|143.0.68.169/4/0/0|143.0.68.169/4/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|||||P102J/GE40/DYBHFLMBR01/DYBHFLMCV22|JUNIPER MX SERIES||||et-4/0/0||ae30|143.1.197.249|0|DYBHFLMCV22||JUNIPER MX SERIES|10.204.243.57|12.122.131.48|143.0.68.184|0|0/0|et-1/0/0||||||
143.0.68.229/1/0/4|143.0.68.229/1/0/4|143.0.68.229/1/0/4|NFO-MOBILITY|NTE|IPAG|true|B|||||P101J/GE1N/DYBHFLMB027/DYBHFLMB056|JUNIPER MX SERIES||N||ge-1/0/4||||0|DYBHFLMB056||CIENA NTE|10.204.10.190|||||9||||||
143.0.68.241/4/0/2|143.0.68.241/4/0/2|143.0.68.241/4/0/2|NFO-MOBILITY|NTE|IPAG|true|B|||||JU103/GE1N/GSVLFLANAC2/GSVLFLSTW02|JUNIPER MX SERIES||N||ge-4/0/2||||0|GSVLFLSTW02||CIENA NTE|10.204.132.158|||||10||||||
143.0.68.35/0/0/2|143.0.68.35/0/0/2|143.0.68.35/0/0/2|NFO-MOBILITY|NTE|IPAG|true|S|||||M101N/GE1N/CRCYNVMAH02/CRCYNVMAH10|JUNIPER MX SERIES||N||ge-0/0/2||||0|CRCYNVMAH10||CIENA NTE|10.204.84.97|||||25||||||
143.0.24.237/0/0/5|143.0.24.237/0/0/5|143.0.24.237/0/0/5|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVMB1Z1/CRCYNVMB1Z3|JUNIPER MX SERIES||Y||ge-0/0/5||||0|CRCYNVMB1Z3||CIENA NTE|10.204.85.104|||||9||||||
8.8.0.154/5/0/2|8.8.0.154/5/0/2|8.8.0.154/5/0/2|NFO-MOBILITY|NTE|IPAG|true|S|||||A101S/GE1N/CRCYNVAAA3K/CRCYNVAA56W|JUNIPER MX SERIES||N||ge-5/0/2||||1|CRCYNVAAA3K||CIENA NTE|10.204.90.135|||||25||||||
143.0.68.35/1/0/9|143.0.68.35/1/0/9|143.0.68.35/1/0/9|ETHERNET-NFO|IPAG|IPAG|true|S|||||W102E/GE1N/CRCYNVMAH01/CRCYNVMAH02|JUNIPER MX SERIES||||ge-1/0/9||ae22|149.0.30.237|1|CRCYNVMAH01||JUNIPER MX SERIES|10.204.242.45|12.122.129.222|149.9.0.28|6|0/6|ge-5/0/6||||||
10.144.0.65/5/2/0|10.144.0.65/5/2/0|10.144.0.65/5/2/0|NFO-MOBILITY|NTE|IPAG|true|B|||||JP103/GE10/ORLDFLMA61W/ORLGFLSAH01|JUNIPER MX SERIES||Y||xe-5/2/0||||0|ORLGFLSAH01||CIENA NTE|192.168.113.80|||||11||||||
149.8.0.17/1/0/5|149.8.0.17/1/0/5|149.8.0.17/1/0/5|NFO-MOBILITY|NTE|IPAG|true|S|||||101/GE1N/ORLDFL32A57/SNJSCAHUTJ6|JUNIPER MX SERIES||N||ge-1/0/5||||0|ORLDFL32A57||CIENA NTE|10.204.66.72|||||26||||||
10.144.0.147/3/1/1|10.144.0.147/3/1/1|10.144.0.147/3/1/1|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/ORLDFLPH51W/ORLDFLUGH01|JUNIPER MX SERIES||Y||ge-3/1/1||||0|ORLDFLUGH01||CIENA NTE|10.204.67.104|||||9||||||
150.0.0.147/3/0/0|150.0.0.147/3/0/0|150.0.0.147/3/0/0|ETHERNET-NFO|IPAG|IPAG|true|S|||||K101F/GE1N/CRCYNVMAE04/CRCYNVMAI17|JUNIPER MX SERIES||||ge-3/0/0||ae0||0|CRCYNVMAE04||CIENA EMUX|10.204.82.201|||||21||||||
149.0.3.196/5/0/2|149.0.3.196/5/0/2|149.0.3.196/5/0/2|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVMADS1/CRCYNVMAD01|JUNIPER MX SERIES||Y||ge-5/0/2||||0|CRCYNVMADS1||CIENA NTE|10.204.85.19|||||9||||||
143.0.68.172/0/0/9|143.0.68.172/0/0/9|143.0.68.172/0/0/9|ETHERNET-NFO|IPAG|IPAG|true|B|||||M102N/GE1N/DYBHFLMCV01/DYBHFLMCV11|JUNIPER MX SERIES||||ge-0/0/9||||0|||||||||||||||
150.0.0.168/5/3/5|150.0.0.168/5/3/5|150.0.0.168/5/3/5|ETHERNET-NFO|IPAG|IPAG|true|S|||||101/GE1N/CRCYNVMAB67/CRCYNVMAI41|JUNIPER MX SERIES||||ge-5/3/5||ae23|149.0.31.69|1|CRCYNVMAB67||JUNIPER MX SERIES|10.204.241.108|12.122.129.143|150.0.0.163|3|0/3|ge-0/0/3||||||
12.123.80.214/2/0/6|12.123.80.214/2/0/6|12.123.80.214/2/0/6|NFO-MOBILITY|NTE|IPAG|true|S|||||R101T/GE1N/SNJSCAHUDK3/SNJSCAHUTJ1|JUNIPER MX SERIES||N||ge-2/0/6||||0|SNJSCAHUTJ1||CIENA NTE|10.204.81.28|||||25||||||
8.8.0.205/1/0/5|8.8.0.205/1/0/5|8.8.0.205/1/0/5|ETHERNET-NFO|IPAG|IPAG|true|S|||||P101S/GE1N/CRCYNVAAE18/CRCYNVAA5D5|JUNIPER MX SERIES||||ge-1/0/5||ae23||1|CRCYNVAAE18||CIENA EMUX|10.204.90.246|||||21||||||
149.0.3.223/4/0/0|149.0.3.223/4/0/0|149.0.3.223/4/0/0|ETHERNET-NFO|IPAG|IPAG|true|B|||||101/GE1N/DYBHFLMAL10/DYBHFLMAZE1|JUNIPER MX SERIES||||ge-4/0/0||ae0||0|DYBHFLMAZE1||CIENA EMUX|10.204.9.186|||||23||||||
143.0.68.169/2/0/5|143.0.68.169/2/0/5|143.0.68.169/2/0/5|ETHERNET-NFO|IPAG|IPAG|true|B|||||P107J/GE1N/DYBHFLMBR01/DYBHFLMCV22|JUNIPER MX SERIES||||ge-2/0/5||ae32|143.1.198.45|0|DYBHFLMCV22||JUNIPER MX SERIES|10.204.243.57|12.122.131.48|143.0.68.184|15|1/5|ge-0/1/5||||||
143.0.68.72/1/0/1|143.0.68.72/1/0/1|143.0.68.72/1/0/1|ETHERNET-NFO|IPAG|IPAG|true|B|||||JU103/GE1N/JCVLFLSEN07/JCVLFLSEWA1|JUNIPER MX SERIES||||ge-1/0/1||ae0||0|JCVLFLSEWA1||CIENA EMUX|10.204.136.101|||||23||||||
150.0.0.168/5/1/5|150.0.0.168/5/1/5|150.0.0.168/5/1/5|NFO-MOBILITY|NTE|IPAG|true|S|||||JU101/GE1N/CRCYNVMAI41/CRCYNVMAUOO|JUNIPER MX SERIES||Y||ge-5/1/5||||0|CRCYNVMAUOO||CIENA NTE|10.204.83.188|||||9||||||
143.0.68.168/1/0/7|143.0.68.168/1/0/7|143.0.68.168/1/0/7|NFO-MOBILITY|NTE|IPAG|true|B|||||F101D/GE1N/DYBHFLMB1MX/DYBHFLMB487|JUNIPER MX SERIES||Y||ge-1/0/7||||0|DYBHFLMB487||CIENA NTE|10.204.10.163|||||9||||||
10.144.0.137/1/1/1|10.144.0.137/1/1/1|10.144.0.137/1/1/1|ETHERNET-NFO|IPAG|IPAG|true|B|||||JU131/GE1N/ORLDFLMA51W/ORLDFLPC61W|JUNIPER MX SERIES||||ge-1/1/1||ae2||0|ORLDFLPC61W||ADTRAN 5000 SERIES|192.168.113.180|||||1||||||
143.0.68.172/0/0/5|143.0.68.172/0/0/5|143.0.68.172/0/0/5|NFO-MOBILITY|NTE|IPAG|true|B|||||JU101/GE1N/DYBHFLMCD8R/DYBHFLMCV01|JUNIPER MX SERIES||Y||ge-0/0/5||||0|DYBHFLMCD8R||CIENA NTE|10.204.10.87|||||10||||||
12.82.0.62/3/0/2|12.82.0.62/3/0/2|12.82.0.62/3/0/2|ETHERNET-NFO|IPAG|IPAG|true|B|||||S102G/GE1N/ORLDFL24Q10/ORLDFL24Q4H|JUNIPER MX SERIES||||ge-3/0/2||ae27||0|||||||||||||||
