@ref(networkElement)|@const(IpagDevice)class
@index(CE_Device)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|acnaban|customer_number|device_model|device_name|device_role|device_type|ipaddress|ineffect|loopback_ipaddr|mcn|mobility_ind|multi_nni|multi_uni|mpa_ind|provision_status|ptnii|subscriber_name|multitenantind
10.204.12.55|10.204.12.55|10.204.12.55|NFO-EMUX|EMUX|NTE|true|B|||CN5150|DYBHFLMC1IQ|CO|CIENA EMUX|10.204.12.55||||N|||N|IN-SERVICE|||
10.204.8.73|10.204.8.73|10.204.8.73|NFO-MOBILITY|NTE|NTE|true|B|AWL-901C010249|901C010249|LE311V|DYBHFLMAH57||CIENA NTE|10.204.8.73|Y||901C01024|N|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|N
10.204.84.192|10.204.84.192|10.204.84.192|NFO-MOBILITY|NTE|NTE|true|S|452-904C010249|904C010249|CN3931|CRCYNVMAL96||CIENA NTE|10.204.84.192|N||904C01024|Y|N|N|N|IN-SERVICE||Jitendra_904C010249_452|N
10.204.132.144|10.204.132.144|10.204.132.144|NFO-MOBILITY|NTE|NTE|true|B|||CN3911|GSVLFLSTW12||CIENA NTE|10.204.132.144|N|||N|N|N|N|IN-SERVICE|||
10.204.80.108|10.204.80.108|10.204.80.108|NFO-MOBILITY|NTE|NTE|true|S|AWL-901C010249|901C010249|LE311V|CRCYNVHU7LI||CIENA NTE|10.204.80.108|N||901C01024|N|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|N
10.204.9.92|10.204.9.92|10.204.9.92|NFO-EMUX|EMUX|NTE|true|B|||CN5140|DYBHFLMAW28|LOOP|CIENA EMUX|10.204.9.92||||N|||N|IN-SERVICE|||
10.204.11.145|10.204.11.145|10.204.11.145|NFO-MOBILITY|NTE|NTE|true|B|452-904C010249|904C010249|CN3931|DYBHFLMC937||CIENA NTE|10.204.11.145|Y||904C01024|N|N|Y|N|IN-SERVICE||JITENDRA_904C010249_452|Y
10.204.201.26|10.204.201.26|10.204.201.26|NFO-EMUX|EMUX|NTE|true|B|||CN5140|ORLDFL24PD0|LOOP|CIENA EMUX|10.204.201.26||||N|||N|IN-SERVICE|||
10.204.9.185|10.204.9.185|10.204.9.185|NFO-MOBILITY|NTE|NTE|true|B|AWL-901C010249|901C010249|CN3930|DYBHFLMAL22||CIENA NTE|10.204.9.185|Y||901C01024|Y|Y|N|N|IN-SERVICE||Saras Day Care_901C010249_AWL|N
10.204.12.13|10.204.12.13|10.204.12.13|NFO-MOBILITY|NTE|NTE|true|B|PUN-901C010249|901C010249|CN3930|DYBHFLMAAPA||CIENA NTE|10.204.12.13|Y||901C01024|N|N|Y|N|IN-SERVICE||Jitendra_901C010249_PUN|Y
10.204.90.122|10.204.90.122|10.204.90.122|NFO-MOBILITY|NTE|NTE|true|S|||LE311V|CRCYNVAASG6||CIENA NTE|10.204.90.122|N|||N|N|N|N|IN-SERVICE|||
10.204.82.142|10.204.82.142|10.204.82.142|NFO-MOBILITY|NTE|NTE|true|S|452-901C010249|901C010249|LE311V|CRCYNVAA72B||CIENA NTE|10.204.82.142|Y||901C01024|N|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_452|N
10.204.81.199|10.204.81.199|10.204.81.199|NFO-MOBILITY|NTE|NTE|true|S|452-901C010249|901C010249|LE311V|CRCYNVAA15T||CIENA NTE|10.204.81.199|Y||901C01024|N|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_452|N
10.204.84.125|10.204.84.125|10.204.84.125|NFO-MOBILITY|NTE|NTE|true|S|AWL-901C010249|901C010249|LE311V|CRCYNVMAL25||CIENA NTE|10.204.84.125|Y||901C01024|Y|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|N
10.204.83.151|10.204.83.151|10.204.83.151|NFO-MOBILITY|NTE|NTE|true|S|AWL-901C010249|901C010249|CN3931|CRCYNVMAIPP||CIENA NTE|10.204.83.151|Y||901C01024|N|N|N|N|IN-SERVICE||ABHAY_901C010249_AWL|N
10.204.82.201|10.204.82.201|10.204.82.201|NFO-EMUX|EMUX|NTE|true|S|||CN5140|CRCYNVMAE04|CO|CIENA EMUX|10.204.82.201||||N|||N|IN-SERVICE|||
10.204.83.233|10.204.83.233|10.204.83.233|NFO-MOBILITY|NTE|NTE|true|S|||LE311V|CRCYNVMAH34||CIENA NTE|10.204.83.233|N|||N|N|N|N|IN-SERVICE|||
135.16.243.4|135.16.243.4|135.16.243.4|NFO-MOBILITY|NTE|NTE|true|S|FNA-0727415099|0727415099|LE311V|SNJPCAGEH02||CIENA NTE|135.16.243.4|Y||072741509|N|N|N|N|IN-SERVICE||CTS-W-GENERIC-BAN_0727415099_FNA|N
10.204.9.95|10.204.9.95|10.204.9.95|NFO-EMUX|EMUX|NTE|true|B|||CN5140|DYBHFLMAW30|CO|CIENA EMUX|10.204.9.95||||N|||N|IN-SERVICE|||
10.204.83.217|10.204.83.217|10.204.83.217|NFO-TA5000|TA5000|NTE|true|S|||TA5000|CRCYNVMAH55||ADTRAN 5000 SERIES|10.204.83.217||||N|||N|IN-SERVICE|||
10.204.10.200|10.204.10.200|10.204.10.200|NFO-EMUX|EMUX|NTE|true|B|||CN3940|DYBHFLMA5P8|CO|CIENA EMUX|10.204.10.200||||N|||N|IN-SERVICE|||
10.204.83.130|10.204.83.130|10.204.83.130|NFO-EMUX|EMUX|NTE|true|S|||CN5140|CRCYNVMAA46|CO|CIENA EMUX|10.204.83.130||||N|||N|IN-SERVICE|||
10.204.85.80|10.204.85.80|10.204.85.80|NFO-MOBILITY|NTE|NTE|true|S|||CN3930|CRCYNVMAZ91||CIENA NTE|10.204.85.80|N|||N|N|N|N|IN-SERVICE|||
10.204.84.196|10.204.84.196|10.204.84.196|NFO-MOBILITY|NTE|NTE|true|S|||CN3930|CRCYNVMAKR9||CIENA NTE|10.204.84.196|N|||N|N|N|N|IN-SERVICE|||
10.204.80.205|10.204.80.205|10.204.80.205|NFO-MOBILITY|NTE|NTE|true|S|AWL-901C010249|901C010249|LE311V|SNJSCAHUFT2||CIENA NTE|10.204.80.205|N||901C01024|N|N|N|N|IN-SERVICE||Prateek_901C010249_AWL|N
10.204.200.101|10.204.200.101|10.204.200.101|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|ORLDFL24BLE||CIENA NTE|10.204.200.101|N|||N|N|N|N|IN-SERVICE|||
10.204.80.210|10.204.80.210|10.204.80.210|NFO-MOBILITY|NTE|NTE|true|S|ZXL-130039|130039|LE311V|SNJSCAHUK03||CIENA NTE|10.204.80.210|Y|||Y|N|Y|N|IN-SERVICE||Saras Daya Care_130039_ZXL|N
10.204.65.159|10.204.65.159|10.204.65.159|NFO-MOBILITY|NTE|NTE|true|B|AWL-901C010249|901C010249|LE311V|ORLDFL32BYQ||CIENA NTE|10.204.65.159|Y||901C01024|N|N|N|N|IN-SERVICE||Saras Day Care_901C010249_AWL|N
10.204.90.176|10.204.90.176|10.204.90.176|NFO-MOBILITY|NTE|NTE|true|S|||LE311V|CRCYNVAAL9V||CIENA NTE|10.204.90.176|N|||N|N|N|N|IN-SERVICE|||
10.204.85.44|10.204.85.44|10.204.85.44|NFO-MOBILITY|NTE|NTE|true|S|AWL-901C010249|901C010249|CN3960|CRCYNVAA3EB||CIENA NTE|10.204.85.44|Y||901C01024|Y|Y|Y|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|N
10.204.10.4|10.204.10.4|10.204.10.4|NFO-MOBILITY|NTE|NTE|true|B|ATX-904N130043|904N130043|CN3931|DYBHFLMA110||CIENA NTE|10.204.10.4|Y|||Y|N|N|N|IN-SERVICE||UAT SCP SA407REAL605_904N130043_ATX|N
10.204.160.114|10.204.160.114|10.204.160.114|NFO-EMUX|EMUX|NTE|true|B|||CN3940|RLGHNCMOW7K|CO|CIENA EMUX|10.204.160.114||||N|||N|IN-SERVICE|||
10.204.132.99|10.204.132.99|10.204.132.99|NFO-MOBILITY|NTE|NTE|true|B|AWL-901C010249|901C010249|CN3931|GSVLFLANZMA||CIENA NTE|10.204.132.99|Y||901C01024|Y|N|Y|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|N
10.204.11.9|10.204.11.9|10.204.11.9|NFO-MOBILITY|NTE|NTE|true|B|PUN-901C010249|901C010249|CN3931|DYBHFLMB2M4||CIENA NTE|10.204.11.9|Y||901C01024|Y|N|N|N|IN-SERVICE||Jitendra_901C010249_PUN|N
10.204.85.13|10.204.85.13|10.204.85.13|NFO-MOBILITY|NTE|NTE|true|S|||CN3930|CRCYNVAA1ZA||CIENA NTE|10.204.85.13|N|||N|N|N|N|IN-SERVICE|||
10.204.132.100|10.204.132.100|10.204.132.100|NFO-MOBILITY|NTE|NTE|true|B|||CN3930|GSVLFLANEF1||CIENA NTE|10.204.132.100|N|||N|N|N|N|IN-SERVICE|||
10.204.9.178|10.204.9.178|10.204.9.178|NFO-MOBILITY|NTE|NTE|true|B|AWL-901C010249|901C010249|CN3930|DYBHFLHC001||CIENA NTE|10.204.9.178|N||901C01024|Y|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|N
10.204.64.180|10.204.64.180|10.204.64.180|NFO-TA5000|TA5000|NTE|true|B|||TA5000|ORLDFL32LP2||ADTRAN 5000 SERIES|10.204.64.180||||N|||N|IN-SERVICE|||
10.204.83.232|10.204.83.232|10.204.83.232|NFO-MOBILITY|NTE|NTE|true|S|AWL-901C010249|901C010249|CN3930|CRCYNVMAIDE||CIENA NTE|10.204.83.232|Y||901C01024|N|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|N
10.204.83.98|10.204.83.98|10.204.83.98|NFO-MOBILITY|NTE|NTE|true|S|452-904C010249|904C010249|CN3911|CRCYNVMAA23||CIENA NTE|10.204.83.98|Y||904C01024|N|N|N|N|IN-SERVICE||AUTOMATION_904C010249_452|N
10.204.144.111|10.204.144.111|10.204.144.111|NFO-MOBILITY|NTE|NTE|true|B|||CN3930|GSVLFLAN1YW||CIENA NTE|10.204.144.111|N|||N|N|N|N|IN-SERVICE|||
10.204.67.36|10.204.67.36|10.204.67.36|NFO-MOBILITY|NTE|NTE|true|B|SMW-407N160088|407N160088|CN3960|ORLDFL420AW||CIENA NTE|10.204.67.36|Y||407N16008|N|Y|Y|N|IN-SERVICE||CTS-SE-WHL-NMOB-OEMAC-A_407N160088_SMW|N
192.168.128.102|192.168.128.102|192.168.128.102|NFO-MOBILITY|NTE|NTE|true|B|PUA-407N070017|407N070017|CN3930|ORLDFLU1222||CIENA NTE|192.168.128.102|Y||407N07001|N|N|Y|N|IN-SERVICE||CTS-SE-WHL-NMOB-OEMAC-C_407N070017_PUA|Y
10.204.160.81|10.204.160.81|10.204.160.81|NFO-TA5000|TA5000|NTE|true|B|||TA5000|RLGHNCMOPS3||ADTRAN 5000 SERIES|10.204.160.81||||N|||N|IN-SERVICE|||
10.204.136.101|10.204.136.101|10.204.136.101|NFO-EMUX|EMUX|NTE|true|B|||CN3940|JCVLFLSEWA1|CO|CIENA EMUX|10.204.136.101||||N|||N|IN-SERVICE|||
10.204.132.158|10.204.132.158|10.204.132.158|NFO-MOBILITY|NTE|NTE|true|B|||CN3911|GSVLFLSTW02||CIENA NTE|10.204.132.158|N|||N|N|N|N|IN-SERVICE|||
10.204.85.103|10.204.85.103|10.204.85.103|NFO-EMUX|EMUX|NTE|true|S|||CN5150|CRCYNVMB1Z2|CO|CIENA EMUX|10.204.85.103||||N|||N|IN-SERVICE|||
10.204.9.93|10.204.9.93|10.204.9.93|NFO-MOBILITY|NTE|NTE|true|B|ABC-904C010249|904C010249|LE311V|DYBHFLMAWAA||CIENA NTE|10.204.9.93|Y|||Y|N|Y|N|IN-SERVICE||ABHAY_904C010249_ABC|N
10.204.200.160|10.204.200.160|10.204.200.160|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|RLGHNCMASJ1||CIENA NTE|10.204.200.160|N|||N|N|N|N|IN-SERVICE|||
10.204.160.95|10.204.160.95|10.204.160.95|NFO-TA5000|TA5000|NTE|true|B|||TA5000|RLGHNCMOA01||ADTRAN 5000 SERIES|10.204.160.95||||N|||N|IN-SERVICE|||
10.204.8.69|10.204.8.69|10.204.8.69|NFO-TA5000|TA5000|NTE|true|B|||TA5000|DYBHFLMAXIY||ADTRAN 5000 SERIES|10.204.8.69||||N|||N|IN-SERVICE|||
10.204.208.84|10.204.208.84|10.204.208.84|NFO-MOBILITY|NTE|NTE|true|S|AWL-901C010249|901C010249|LE311V|CRCYNVHU9LA||CIENA NTE|10.204.208.84|Y||901C01024|Y|N|Y|N|IN-SERVICE||Saras Day Care_901C010249_AWL|N
192.168.113.67|192.168.113.67|192.168.113.67|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|ORLDFLMAH0W||CIENA NTE|192.168.113.67|Y|||Y|N|N|Y|IN-SERVICE|||N
10.204.11.103|10.204.11.103|10.204.11.103|NFO-EMUX|EMUX|NTE|true|B|||CN3940|DYBHFLMCJ1K|CO|CIENA EMUX|10.204.11.103||||N|||N|IN-SERVICE|||
10.204.81.43|10.204.81.43|10.204.81.43|NFO-MOBILITY|NTE|NTE|true|S|ZXL-407N160011|407N160011|LE311V|SNJSCAHUK12||CIENA NTE|10.204.81.43|Y||407N16001|N|N|N|N|IN-SERVICE||E2E SOUTH EAST OEMAC_407N160011_ZXL|N
10.204.200.230|10.204.200.230|10.204.200.230|NFO-MOBILITY|NTE|NTE|true|B|AWL-5555|5555|LE311V|RLGHNCMA6T4||CIENA NTE|10.204.200.230|Y|||N|N|N|Y|IN-SERVICE||sabnekar_5555_AWL|N
10.204.200.123|10.204.200.123|10.204.200.123|NFO-MOBILITY|NTE|NTE|true|S|AWL-901C010249|901C010249|CN3911|SNJSCAACW01||CIENA NTE|10.204.200.123|Y||901C01024|Y|N|N|N|IN-SERVICE||Saras Day Care_901C010249_AWL|N
10.204.83.167|10.204.83.167|10.204.83.167|NFO-MOBILITY|NTE|NTE|true|S|AWL-901C010249|901C010249|CN3931|CRCYNVMAL15||CIENA NTE|10.204.83.167|Y||901C01024|N|N|N|N|IN-SERVICE||E2E SA FEBRUARY2011_901C010249_AWL|N
10.204.132.153|10.204.132.153|10.204.132.153|NFO-TA5000|TA5000|NTE|true|B|||TA5000|GSVLFLANPWK||ADTRAN 5000 SERIES|10.204.132.153||||N|||N|IN-SERVICE|||
10.204.201.35|10.204.201.35|10.204.201.35|NFO-MOBILITY|NTE|NTE|true|B|AWL-123456|123456|LE311V|ORLDFL241TN||CIENA NTE|10.204.201.35|Y|||N|N|Y|N|IN-SERVICE||Saras Day Care_123456_AWL|N
10.204.67.86|10.204.67.86|10.204.67.86|NFO-MOBILITY|NTE|NTE|true|B|||CN3931|ORLLFLHS02W||CIENA NTE|10.204.67.86|N|||N|N|N|N|IN-SERVICE|||
192.168.113.149|192.168.113.149|192.168.113.149|NFO-EMUX|EMUX|NTE|true|S|||CN5140|SNJTCAQU0AW|LOOP|CIENA EMUX|192.168.113.149||||N|||N|IN-SERVICE|||
10.204.6.69|10.204.6.69|10.204.6.69|NFO-MOBILITY|NTE|NTE|true|S|||LE311V|CRCYNVHU1AW||CIENA NTE|10.204.6.69|N|||N|N|N|N|IN-SERVICE|||
10.204.85.79|10.204.85.79|10.204.85.79|NFO-EMUX|EMUX|NTE|true|S|||CN3940|CRCYNVMAD81|CO|CIENA EMUX|10.204.85.79||||N|||N|IN-SERVICE|||
10.204.90.163|10.204.90.163|10.204.90.163|NFO-TA5000|TA5000|NTE|true|S|||TA5000|CRCYNVAA8AW||ADTRAN 5000 SERIES|10.204.90.163||||N|||N|IN-SERVICE|||
10.204.65.132|10.204.65.132|10.204.65.132|NFO-MOBILITY|NTE|NTE|true|B|||LE311V|ORLDFL32N32||CIENA NTE|10.204.65.132|N|||N|N|N|N|IN-SERVICE|||
10.204.90.161|10.204.90.161|10.204.90.161|NFO-MOBILITY|NTE|NTE|true|S|GHI-901C010249|901C010249|LE311V|CRCYNVAANG2||CIENA NTE|10.204.90.161|N|||N|N|N|N|IN-SERVICE||TELEPAK NETWORKS INC_901C010249_GHI|N
10.204.67.164|10.204.67.164|10.204.67.164|NFO-MOBILITY|NTE|NTE|true|B|||CN3930|ORLDFLMAD89||CIENA NTE|10.204.67.164|N|||N|N|N|N|IN-SERVICE|||
10.204.65.133|10.204.65.133|10.204.65.133|NFO-MOBILITY|NTE|NTE|true|B|BSM-407C070620|407C070620|LE311V|ORLDFL32N33||CIENA NTE|10.204.65.133|Y||407C07062|N|N|N|N|IN-SERVICE||CTS DATA TEAM_407C070620_BSM|N
192.168.95.31|192.168.95.31|192.168.95.31|NFO-MOBILITY|NTE|NTE|true|S|OER-0727415014|0727415014|CN3931|SNJSCA1A002||CIENA NTE|192.168.95.31|Y||072741501|N|Y|Y|N|IN-SERVICE||CTS W WHL NMOB OEMAC B_0727415014_OER|N
10.204.10.98|10.204.10.98|10.204.10.98|NFO-MOBILITY|NTE|NTE|true|B|650-901C010249|901C010249|CN3930|DYBHFLMC2QQ||CIENA NTE|10.204.10.98|Y||901C01024|Y|N|N|N|IN-SERVICE||SANITY_901C010249_650|N
10.204.11.247|10.204.11.247|10.204.11.247|NFO-MOBILITY|NTE|NTE|true|B|||CN3930|DYBHFLMA741||CIENA NTE|10.204.11.247|N|||N|N|N|N|IN-SERVICE|||
10.204.1.84|10.204.1.84|10.204.1.84|NFO-MOBILITY|NTE|NTE|true|S|FNA-0727415099|0727415099|CN3930|SNJPCASR0AW||CIENA NTE|10.204.1.84|Y||072741509|N|N|N|N|IN-SERVICE||CTS W GENERIC BAN_0727415099_FNA|N
10.204.132.181|10.204.132.181|10.204.132.181|NFO-MOBILITY|NTE|NTE|true|B|650-901C010249|901C010249|CN3931|GSVLFLAN202||CIENA NTE|10.204.132.181|Y||901C01024|Y|N|N|N|IN-SERVICE||SANITY_901C010249_650|N
10.204.81.195|10.204.81.195|10.204.81.195|NFO-MOBILITY|NTE|NTE|true|S|||LE311V|CRCYNVAA9YP||CIENA NTE|10.204.81.195|Y|||N|N|N|Y|IN-SERVICE|||N
10.204.81.117|10.204.81.117|10.204.81.117|NFO-MOBILITY|NTE|NTE|true|S|||LE311V|SNJSCAHUGTD||CIENA NTE|10.204.81.117|N|||N|N|N|N|IN-SERVICE|||
10.204.10.149|10.204.10.149|10.204.10.149|NFO-TA5000|TA5000|NTE|true|B|||TA5000|DYBHFLMBM01||ADTRAN 5000 SERIES|10.204.10.149||||N|||N|IN-SERVICE|||
