@rel(Composed_Of)
@from(CE_Card)key|@to(CE_PPort)key
10.204.176.65/SM-A|10.204.176.65/SM-A/2
10.204.8.87/SM-B|10.204.8.87/SM-B/1
10.204.144.92/SM-A|10.204.144.92/SM-A/1
10.204.200.111/13|10.204.200.111/13/2
10.204.64.168/SM-B|10.204.64.168/SM-B/1
10.204.65.139/SM-A|10.204.65.139/SM-A/1
192.168.113.180/21|192.168.113.180/21/9
1.2.3.5/SM-A|1.2.3.5/SM-A/1
192.168.113.180/SM-B|192.168.113.180/SM-B/1
10.204.132.128/SM-B|10.204.132.128/SM-B/2
10.204.160.100/SM-A|10.204.160.100/SM-A/2
192.168.113.200/20|192.168.113.200/20/1
10.204.90.88/1|10.204.90.88/1/5
10.204.160.113/SM-A|10.204.160.113/SM-A/2
10.204.200.111/7|10.204.200.111/7/1
10.204.90.217/SM-B|10.204.90.217/SM-B/1
10.204.10.149/SM-A|10.204.10.149/SM-A/1
10.204.83.217/SM-B|10.204.83.217/SM-B/1
10.204.200.161/SM-B|10.204.200.161/SM-B/2
10.204.90.241/17|10.204.90.241/17/1
10.204.83.97/20|10.204.83.97/20/1
192.168.113.230/SM-B|192.168.113.230/SM-B/1
10.204.132.171/SM-B|10.204.132.171/SM-B/2
192.168.113.230/21|192.168.113.230/21/9
192.168.113.200/21|192.168.113.200/21/0
10.204.90.88/21|10.204.90.88/21/5
10.204.90.88/3|10.204.90.88/3/2
10.204.200.196/1|10.204.200.196/1/1
10.204.64.166/SM-A|10.204.64.166/SM-A/1
10.204.160.117/SM-A|10.204.160.117/SM-A/1
10.204.65.139/SM-B|10.204.65.139/SM-B/1
10.204.134.194/SM-A|10.204.134.194/SM-A/1
10.204.90.162/SM-B|10.204.90.162/SM-B/2
10.204.83.97/SM-A|10.204.83.97/SM-A/1
10.204.200.111/SM-A|10.204.200.111/SM-A/1
10.204.4.70/13|10.204.4.70/13/3
10.204.176.65/13|10.204.176.65/13/1
10.204.82.188/SM-B|10.204.82.188/SM-B/2
10.204.114.198/SM-B|10.204.114.198/SM-B/1
192.168.113.245/1|192.168.113.245/1/3
192.168.113.200/SM-B|192.168.113.200/SM-B/1
10.19.144.232/SM-A|10.19.144.232/SM-A/1
10.204.90.88/3|10.204.90.88/3/1
10.204.64.166/SM-A|10.204.64.166/SM-A/2
10.204.90.88/1|10.204.90.88/1/3
10.204.114.198/SM-A|10.204.114.198/SM-A/1
10.204.82.181/SM-B|10.204.82.181/SM-B/1
10.204.144.68/SM-B|10.204.144.68/SM-B/1
192.168.113.180/SM-A|192.168.113.180/SM-A/1
10.204.90.163/SM-B|10.204.90.163/SM-B/1
10.204.160.124/SM-A|10.204.160.124/SM-A/1
10.204.144.193/SM-B|10.204.144.193/SM-B/1
10.19.144.232/SM-A|10.19.144.232/SM-A/2
10.204.144.222/SM-A|10.204.144.222/SM-A/1
10.204.82.199/SM-B|10.204.82.199/SM-B/2
10.204.83.217/SM-A|10.204.83.217/SM-A/1
10.204.65.137/SM-B|10.204.65.137/SM-B/1
192.168.113.180/21|192.168.113.180/21/2
1.2.3.5/SM-A|1.2.3.5/SM-A/2
10.204.201.16/13|10.204.201.16/13/2
10.204.132.153/SM-B|10.204.132.153/SM-B/2
10.204.132.171/SM-B|10.204.132.171/SM-B/1
10.204.90.88/1|10.204.90.88/1/1
10.204.82.181/SM-A|10.204.82.181/SM-A/1
10.204.200.72/SM-B|10.204.200.72/SM-B/1
10.204.204.132/SM-A|10.204.204.132/SM-A/1
10.204.114.202/SM-B|10.204.114.202/SM-B/1
10.204.90.88/13|10.204.90.88/13/2
10.204.160.81/SM-A|10.204.160.81/SM-A/1
10.204.64.183/SM-B|10.204.64.183/SM-B/1
10.204.161.40/SM-B|10.204.161.40/SM-B/2
10.204.160.117/SM-A|10.204.160.117/SM-A/2
192.168.113.245/15|192.168.113.245/15/2
10.204.90.217/SM-A|10.204.90.217/SM-A/1
192.168.113.180/1|192.168.113.180/1/2
10.204.10.149/1|10.204.10.149/1/1
10.204.64.154/SM-A|10.204.64.154/SM-A/1
150.234.53.245/SM-B|150.234.53.245/SM-B/1
10.204.90.88/SM-A|10.204.90.88/SM-A/1
10.204.90.88/SM-B|10.204.90.88/SM-B/1
10.204.83.97/SM-B|10.204.83.97/SM-B/2
10.204.90.88/1|10.204.90.88/1/6
10.204.12.151/SM-A|10.204.12.151/SM-A/1
10.204.65.139/SM-A|10.204.65.139/SM-A/2
10.204.156.70/SM-A|10.204.156.70/SM-A/1
10.204.160.95/SM-A|10.204.160.95/SM-A/1
10.204.144.68/SM-B|10.204.144.68/SM-B/2
10.204.201.1/15|10.204.201.1/15/1
10.204.161.40/SM-B|10.204.161.40/SM-B/1
192.168.113.180/21|192.168.113.180/21/3
150.234.53.245/SM-A|150.234.53.245/SM-A/1
10.204.156.70/SM-A|10.204.156.70/SM-A/2
10.204.12.150/SM-A|10.204.12.150/SM-A/2
