@ref(networkElement)|@const(IpagSlot)class
@index(PE_Slot)key|TDL_instance_name|key|alarm_classification|alarm_domain|data_source|is_operational|legacy_org_ind|slot_number|slot_name
143.0.24.31/6|143.0.24.31/6|143.0.24.31/6|ETHERNET-NFO|IPAG|IPAG|true|B|2|SCB2/6
143.1.140.2/7|143.1.140.2/7|143.1.140.2/7|||OEW-VPLS|true||7|
10.144.0.124/3|10.144.0.124/3|10.144.0.124/3|ETHERNET-NFO|IPAG|IPAG|true|S|3|DPC3
148.0.131.184/1|148.0.131.184/1|148.0.131.184/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
10.0.38.94/3|10.0.38.94/3|10.0.38.94/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
12.123.80.14/2|12.123.80.14/2|12.123.80.14/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
149.0.24.16/0|149.0.24.16/0|149.0.24.16/0|||OEW-VPLS|true||0|
12.123.80.15/1|12.123.80.15/1|12.123.80.15/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
143.0.68.205/2|143.0.68.205/2|143.0.68.205/2|ETHERNET-NFO|IPAG|IPAG|true|S|2|DPC2
150.0.0.23/4|150.0.0.23/4|150.0.0.23/4|ETHERNET-NFO|IPAG|IPAG|true|S|4|DPC4
12.80.72.38/2|12.80.72.38/2|12.80.72.38/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
12.123.80.56/1|12.123.80.56/1|12.123.80.56/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
150.0.0.149/1|150.0.0.149/1|150.0.0.149/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
192.168.43.18/4|192.168.43.18/4|192.168.43.18/4|||OEW-VPLS|true||4|
8.8.0.169/1|8.8.0.169/1|8.8.0.169/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
143.0.68.206/0|143.0.68.206/0|143.0.68.206/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
150.0.0.207/1|150.0.0.207/1|150.0.0.207/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
12.123.80.219/0|12.123.80.219/0|12.123.80.219/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
8.8.0.170/1|8.8.0.170/1|8.8.0.170/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
143.0.68.244/4|143.0.68.244/4|143.0.68.244/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
143.0.68.42/1|143.0.68.42/1|143.0.68.42/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
148.0.131.248/3|148.0.131.248/3|148.0.131.248/3|||OEW-VPLS|true||3|
148.0.131.185/0|148.0.131.185/0|148.0.131.185/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
12.122.72.112/1|12.122.72.112/1|12.122.72.112/1|||OEW-VPLS|true||1|
149.0.3.143/3|149.0.3.143/3|149.0.3.143/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
149.0.3.214/0|149.0.3.214/0|149.0.3.214/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
148.0.131.195/1|148.0.131.195/1|148.0.131.195/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
149.9.0.43/1|149.9.0.43/1|149.9.0.43/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
10.0.36.6/2|10.0.36.6/2|10.0.36.6/2|||OEW-VPLS|true||2|
143.0.24.168/2|143.0.24.168/2|143.0.24.168/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
143.0.68.82/5|143.0.68.82/5|143.0.68.82/5|ETHERNET-NFO|IPAG|IPAG|true|S|5|DPC5
12.123.80.35/1|12.123.80.35/1|12.123.80.35/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
12.82.0.56/5|12.82.0.56/5|12.82.0.56/5|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
143.0.68.172/4|143.0.68.172/4|143.0.68.172/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
10.0.38.134/0|10.0.38.134/0|10.0.38.134/0|||OEW-VPLS|true||0|
143.0.68.205/5|143.0.68.205/5|143.0.68.205/5|ETHERNET-NFO|IPAG|IPAG|true|S|5|DPC5
8.8.0.129/4.0|8.8.0.129/4.0|8.8.0.129/4.0|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
12.80.72.23/3|12.80.72.23/3|12.80.72.23/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
149.9.0.22/5|149.9.0.22/5|149.9.0.22/5|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
10.0.40.10/1|10.0.40.10/1|10.0.40.10/1|||OEW-VPLS|true||1|
12.123.80.116/2|12.123.80.116/2|12.123.80.116/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
150.0.0.221/0|150.0.0.221/0|150.0.0.221/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.80.4.9/3|12.80.4.9/3|12.80.4.9/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
12.80.68.129/1|12.80.68.129/1|12.80.68.129/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
10.144.0.116/5|10.144.0.116/5|10.144.0.116/5|||OEW-VPLS|true||5|
150.0.0.59/5|150.0.0.59/5|150.0.0.59/5|ETHERNET-NFO|IPAG|IPAG|true|S|5|DPC5
10.0.36.78/5|10.0.36.78/5|10.0.36.78/5|||OEW-VPLS|true||5|
148.0.131.253/4|148.0.131.253/4|148.0.131.253/4|ETHERNET-NFO|IPAG|IPAG|true|S|4|DPC4
149.2.0.1/0|149.2.0.1/0|149.2.0.1/0|||OEW-VPLS|true||0|
12.80.72.108/1|12.80.72.108/1|12.80.72.108/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
12.123.80.197/0|12.123.80.197/0|12.123.80.197/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
143.0.68.43/5|143.0.68.43/5|143.0.68.43/5|ETHERNET-NFO|IPAG|IPAG|true|S|5|DPC5
10.0.38.60/1|10.0.38.60/1|10.0.38.60/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
149.4.64.8/3|149.4.64.8/3|149.4.64.8/3|||OEW-VPLS|true||3|
12.123.80.34/2|12.123.80.34/2|12.123.80.34/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
143.0.68.227/9|143.0.68.227/9|143.0.68.227/9|ETHERNET-NFO|IPAG|IPAG|true|B|9|DPC9
12.80.72.110/2|12.80.72.110/2|12.80.72.110/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
143.0.68.36/0|143.0.68.36/0|143.0.68.36/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
10.144.0.114/0|10.144.0.114/0|10.144.0.114/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
10.0.36.24/2|10.0.36.24/2|10.0.36.24/2|||OEW-VPLS|true||2|
10.144.0.112/1|10.144.0.112/1|10.144.0.112/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
12.123.80.56/2|12.123.80.56/2|12.123.80.56/2|ETHERNET-NFO|IPAG|IPAG|true|S|2|DPC2
12.80.72.41/3|12.80.72.41/3|12.80.72.41/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
149.8.0.129/2|149.8.0.129/2|149.8.0.129/2|||OEW-VPLS|true||2|
12.82.0.62/1|12.82.0.62/1|12.82.0.62/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
143.0.68.75/0|143.0.68.75/0|143.0.68.75/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
143.0.24.168/4|143.0.24.168/4|143.0.24.168/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
10.0.34.15/4|10.0.34.15/4|10.0.34.15/4|||OEW-VPLS|true||4|
143.0.68.51/5|143.0.68.51/5|143.0.68.51/5|ETHERNET-NFO|IPAG|IPAG|true|S|5|DPC5
10.0.38.53/0|10.0.38.53/0|10.0.38.53/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.123.68.1/2|12.123.68.1/2|12.123.68.1/2|||OEW-VPLS|true||2|
12.80.72.70/5|12.80.72.70/5|12.80.72.70/5|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
12.123.80.61/0|12.123.80.61/0|12.123.80.61/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.123.80.37/0|12.123.80.37/0|12.123.80.37/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
149.9.0.61/5|149.9.0.61/5|149.9.0.61/5|ETHERNET-NFO|IPAG|IPAG|true|S|5|DPC5
10.144.0.112/11|10.144.0.112/11|10.144.0.112/11|ETHERNET-NFO|IPAG|IPAG|true|S|11|DPC11
8.8.0.144/5.0|8.8.0.144/5.0|8.8.0.144/5.0|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
12.122.72.161/0|12.122.72.161/0|12.122.72.161/0|||OEW-VPLS|true||0|
12.123.80.103/1|12.123.80.103/1|12.123.80.103/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
149.0.3.223/4|149.0.3.223/4|149.0.3.223/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
12.80.72.54/0|12.80.72.54/0|12.80.72.54/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
10.0.40.41/0|10.0.40.41/0|10.0.40.41/0|||OEW-VPLS|true||0|
10.144.0.122/3|10.144.0.122/3|10.144.0.122/3|ETHERNET-NFO|IPAG|IPAG|true|S|3|DPC3
143.0.68.35/0|143.0.68.35/0|143.0.68.35/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
143.0.68.112/1|143.0.68.112/1|143.0.68.112/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
143.0.24.29/3|143.0.24.29/3|143.0.24.29/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
143.1.140.2/3|143.1.140.2/3|143.1.140.2/3|||OEW-VPLS|true||3|
10.0.36.77/5|10.0.36.77/5|10.0.36.77/5|||OEW-VPLS|true||5|
10.0.8.124/2|10.0.8.124/2|10.0.8.124/2|||OEW-VPLS|true||2|
143.0.68.51/2|143.0.68.51/2|143.0.68.51/2|ETHERNET-NFO|IPAG|IPAG|true|S|2|DPC2
149.0.3.138/0|149.0.3.138/0|149.0.3.138/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
143.0.24.29/2|143.0.24.29/2|143.0.24.29/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
149.0.3.215/0|149.0.3.215/0|149.0.3.215/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
143.0.68.213/5|143.0.68.213/5|143.0.68.213/5|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
143.0.24.132/3|143.0.24.132/3|143.0.24.132/3|ETHERNET-NFO|IPAG|IPAG|true|S|3|DPC3
12.80.68.139/1|12.80.68.139/1|12.80.68.139/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
149.4.64.3/0|149.4.64.3/0|149.4.64.3/0|||OEW-VPLS|true||0|
10.144.0.123/3|10.144.0.123/3|10.144.0.123/3|ETHERNET-NFO|IPAG|IPAG|true|S|3|DPC3
143.0.68.120/2|143.0.68.120/2|143.0.68.120/2|ETHERNET-NFO|IPAG|IPAG|true|S|2|DPC2
10.0.40.42/3|10.0.40.42/3|10.0.40.42/3|||OEW-VPLS|true||3|
12.80.72.34/0|12.80.72.34/0|12.80.72.34/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.82.0.53/1|12.82.0.53/1|12.82.0.53/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
143.0.68.208/2|143.0.68.208/2|143.0.68.208/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
143.0.24.56/0|143.0.24.56/0|143.0.24.56/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
8.8.0.198/5|8.8.0.198/5|8.8.0.198/5|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
12.122.72.166/1|12.122.72.166/1|12.122.72.166/1|||OEW-VPLS|true||1|
12.123.80.42/1|12.123.80.42/1|12.123.80.42/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
12.80.0.209/2|12.80.0.209/2|12.80.0.209/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
12.123.80.157/4|12.123.80.157/4|12.123.80.157/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
143.0.68.241/4|143.0.68.241/4|143.0.68.241/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
149.4.28.1/3|149.4.28.1/3|149.4.28.1/3|||OEW-VPLS|true||3|
143.0.68.227/8|143.0.68.227/8|143.0.68.227/8|ETHERNET-NFO|IPAG|IPAG|true|B|8|DPC8
12.123.80.168/2|12.123.80.168/2|12.123.80.168/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
143.0.68.228/7|143.0.68.228/7|143.0.68.228/7|ETHERNET-NFO|IPAG|IPAG|true|B|7|DPC7
10.0.40.10/0|10.0.40.10/0|10.0.40.10/0|||OEW-VPLS|true||0|
150.0.0.190/0|150.0.0.190/0|150.0.0.190/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
143.0.68.67/2|143.0.68.67/2|143.0.68.67/2|ETHERNET-NFO|IPAG|IPAG|true|S|2|DPC2
149.9.0.1/5|149.9.0.1/5|149.9.0.1/5|ETHERNET-NFO|IPAG|IPAG|true|S|5|DPC5
8.8.0.161/0|8.8.0.161/0|8.8.0.161/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
12.80.68.138/2|12.80.68.138/2|12.80.68.138/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
10.144.0.149/9|10.144.0.149/9|10.144.0.149/9|||OEW-VPLS|true||9|
149.4.64.12/6|149.4.64.12/6|149.4.64.12/6|||OEW-VPLS|true||6|
150.0.0.234/0|150.0.0.234/0|150.0.0.234/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
10.0.40.35/0|10.0.40.35/0|10.0.40.35/0|||OEW-VPLS|true||0|
12.80.72.45/0|12.80.72.45/0|12.80.72.45/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
10.0.36.72/11|10.0.36.72/11|10.0.36.72/11|||OEW-VPLS|true||11|
192.168.43.18/5|192.168.43.18/5|192.168.43.18/5|||OEW-VPLS|true||5|
12.123.80.117/2|12.123.80.117/2|12.123.80.117/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
10.0.36.77/8|10.0.36.77/8|10.0.36.77/8|||OEW-VPLS|true||8|
8.8.0.215/4|8.8.0.215/4|8.8.0.215/4|ETHERNET-NFO|IPAG|IPAG|true|S|4|DPC4
150.0.0.141/0|150.0.0.141/0|150.0.0.141/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
10.0.36.79/0|10.0.36.79/0|10.0.36.79/0|||OEW-VPLS|true||0|
143.0.68.21/5|143.0.68.21/5|143.0.68.21/5|ETHERNET-NFO|IPAG|IPAG|true|S|5|DPC5
143.0.68.247/1|143.0.68.247/1|143.0.68.247/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
14.195.0.51/10|14.195.0.51/10|14.195.0.51/10|||OEW-VPLS|true||10|
148.0.131.219/0|148.0.131.219/0|148.0.131.219/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
143.0.24.8/0|143.0.24.8/0|143.0.24.8/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
149.4.64.12/11|149.4.64.12/11|149.4.64.12/11|||OEW-VPLS|true||11|
8.8.0.172/5|8.8.0.172/5|8.8.0.172/5|ETHERNET-NFO|IPAG|IPAG|true|S|5|DPC5
10.0.36.14/8|10.0.36.14/8|10.0.36.14/8|||OEW-VPLS|true||8|
12.123.80.143/0|12.123.80.143/0|12.123.80.143/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.123.80.90/0|12.123.80.90/0|12.123.80.90/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
88.33.55.4/0|88.33.55.4/0|88.33.55.4/0|||OEW-VPLS|true||0|
12.123.80.176/0|12.123.80.176/0|12.123.80.176/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
143.0.24.148/4|143.0.24.148/4|143.0.24.148/4|ETHERNET-NFO|IPAG|IPAG|true|S|4|DPC4
143.0.68.72/1|143.0.68.72/1|143.0.68.72/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
143.0.68.218/0|143.0.68.218/0|143.0.68.218/0|ETHERNET-NFO|IPAG|IPAG|true|S|0|DPC0
12.80.72.39/0|12.80.72.39/0|12.80.72.39/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
10.0.36.74/5|10.0.36.74/5|10.0.36.74/5|||OEW-VPLS|true||5|
148.0.131.240/0|148.0.131.240/0|148.0.131.240/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
72.44.12.29/4|72.44.12.29/4|72.44.12.29/4|||OEW-VPLS|true||4|
149.4.64.1/8|149.4.64.1/8|149.4.64.1/8|||OEW-VPLS|true||8|
10.0.40.6/5|10.0.40.6/5|10.0.40.6/5|||OEW-VPLS|true||5|
150.0.0.4/1|150.0.0.4/1|150.0.0.4/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
149.0.3.198/1|149.0.3.198/1|149.0.3.198/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
10.0.38.82/1|10.0.38.82/1|10.0.38.82/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
150.0.0.152/0|150.0.0.152/0|150.0.0.152/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
149.0.3.244/2|149.0.3.244/2|149.0.3.244/2|ETHERNET-NFO|IPAG|IPAG|true|S|2|DPC2
10.0.36.76/1|10.0.36.76/1|10.0.36.76/1|||OEW-VPLS|true||1|
10.0.36.73/9|10.0.36.73/9|10.0.36.73/9|||OEW-VPLS|true||9|
149.8.0.163/3|149.8.0.163/3|149.8.0.163/3|||OEW-VPLS|true||3|
10.0.36.74/1|10.0.36.74/1|10.0.36.74/1|||OEW-VPLS|true||1|
12.80.0.208/2|12.80.0.208/2|12.80.0.208/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
12.123.80.21/2|12.123.80.21/2|12.123.80.21/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
10.0.36.74/6|10.0.36.74/6|10.0.36.74/6|||OEW-VPLS|true||6|
12.80.72.107/0|12.80.72.107/0|12.80.72.107/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
150.0.0.161/1|150.0.0.161/1|150.0.0.161/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
143.0.68.83/1|143.0.68.83/1|143.0.68.83/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
143.0.68.72/0|143.0.68.72/0|143.0.68.72/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
10.144.0.65/11|10.144.0.65/11|10.144.0.65/11|ETHERNET-NFO|IPAG|IPAG|true|B|11|DPC11
143.0.68.248/0|143.0.68.248/0|143.0.68.248/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.80.72.9/2|12.80.72.9/2|12.80.72.9/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
149.8.0.161/9|149.8.0.161/9|149.8.0.161/9|||OEW-VPLS|true||9|
12.80.68.132/3|12.80.68.132/3|12.80.68.132/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
8.8.0.154/2|8.8.0.154/2|8.8.0.154/2|ETHERNET-NFO|IPAG|IPAG|true|S|2|DPC2
10.0.40.34/1|10.0.40.34/1|10.0.40.34/1|||OEW-VPLS|true||1|
12.82.0.57/0|12.82.0.57/0|12.82.0.57/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
10.0.40.41/1|10.0.40.41/1|10.0.40.41/1|||OEW-VPLS|true||1|
143.0.68.252/5|143.0.68.252/5|143.0.68.252/5|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
150.0.0.166/2|150.0.0.166/2|150.0.0.166/2|ETHERNET-NFO|IPAG|IPAG|true|S|2|DPC2
143.0.68.21/1|143.0.68.21/1|143.0.68.21/1|ETHERNET-NFO|IPAG|IPAG|true|S|1|DPC1
143.0.68.123/5|143.0.68.123/5|143.0.68.123/5|ETHERNET-NFO|IPAG|IPAG|true|S|5|DPC5
8.8.0.176/5|8.8.0.176/5|8.8.0.176/5|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
12.80.72.14/0|12.80.72.14/0|12.80.72.14/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
149.8.0.163/0|149.8.0.163/0|149.8.0.163/0|||OEW-VPLS|true||0|
149.0.3.156/2|149.0.3.156/2|149.0.3.156/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
12.122.72.115/0|12.122.72.115/0|12.122.72.115/0|||OEW-VPLS|true||0|
143.0.24.248/1|143.0.24.248/1|143.0.24.248/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
149.4.64.15/1|149.4.64.15/1|149.4.64.15/1|||OEW-VPLS|true||1|
88.33.55.4/2|88.33.55.4/2|88.33.55.4/2|||OEW-VPLS|true||2|
143.0.68.173/2|143.0.68.173/2|143.0.68.173/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
143.0.24.131/7|143.0.24.131/7|143.0.24.131/7|ETHERNET-NFO|IPAG|IPAG|true|S|7|DPC7
10.0.38.70/0|10.0.38.70/0|10.0.38.70/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
10.0.8.124/5|10.0.8.124/5|10.0.8.124/5|||OEW-VPLS|true||5|
143.0.24.196/5|143.0.24.196/5|143.0.24.196/5|ETHERNET-NFO|IPAG|IPAG|true|B|5|DPC5
149.0.3.200/1|149.0.3.200/1|149.0.3.200/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
150.0.0.89/2|150.0.0.89/2|150.0.0.89/2|ETHERNET-NFO|IPAG|IPAG|true|S|2|DPC2
150.0.0.56/0|150.0.0.56/0|150.0.0.56/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
149.9.0.6/1|149.9.0.6/1|149.9.0.6/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
10.0.8.124/3|10.0.8.124/3|10.0.8.124/3|||OEW-VPLS|true||3|
143.0.24.145/0|143.0.24.145/0|143.0.24.145/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
8.8.0.167/2|8.8.0.167/2|8.8.0.167/2|ETHERNET-NFO|IPAG|IPAG|true|S|2|DPC2
10.0.38.84/1|10.0.38.84/1|10.0.38.84/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
150.0.0.152/1|150.0.0.152/1|150.0.0.152/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
149.0.3.222/3|149.0.3.222/3|149.0.3.222/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
10.0.40.6/0|10.0.40.6/0|10.0.40.6/0|||OEW-VPLS|true||0|
143.0.68.169/2|143.0.68.169/2|143.0.68.169/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
143.0.24.92/1|143.0.24.92/1|143.0.24.92/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
149.9.0.14/2|149.9.0.14/2|149.9.0.14/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
12.80.72.110/0|12.80.72.110/0|12.80.72.110/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
10.0.40.6/4|10.0.40.6/4|10.0.40.6/4|||OEW-VPLS|true||4|
10.0.38.97/2|10.0.38.97/2|10.0.38.97/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
150.0.0.83/1|150.0.0.83/1|150.0.0.83/1|ETHERNET-NFO|IPAG|IPAG|true|B|1|DPC1
10.0.36.7/11|10.0.36.7/11|10.0.36.7/11|||OEW-VPLS|true||11|
149.4.28.1/1|149.4.28.1/1|149.4.28.1/1|||OEW-VPLS|true||1|
143.0.68.22/0|143.0.68.22/0|143.0.68.22/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
148.0.131.222/2|148.0.131.222/2|148.0.131.222/2|ETHERNET-NFO|IPAG|IPAG|true|B|2|DPC2
143.0.24.145/4|143.0.24.145/4|143.0.24.145/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
150.0.0.55/0|150.0.0.55/0|150.0.0.55/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
143.0.24.58/3|143.0.24.58/3|143.0.24.58/3|ETHERNET-NFO|IPAG|IPAG|true|B|3|DPC3
12.80.72.31/0|12.80.72.31/0|12.80.72.31/0|ETHERNET-NFO|IPAG|IPAG|true|B|0|DPC0
12.123.80.164/5|12.123.80.164/5|12.123.80.164/5|ETHERNET-NFO|IPAG|IPAG|true|S|5|DPC5
143.0.68.170/4|143.0.68.170/4|143.0.68.170/4|ETHERNET-NFO|IPAG|IPAG|true|B|4|DPC4
